Loc,NIR Sample Number,Analysis Date,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Ligin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
OR_19,45,11/6/19,30818,E: 202,3,94.49445,20.09017,33.38453,38.44465,9.51687,2.18428,5.56128,15.11772,76.90707,18.03359,79.03789,1.18586,0.33816,3.19448,0.28727,6.17769,6.72124,3.81926
OR_19,40,11/6/19,30819,E: 61,3,96.00841,19.67404,32.41644,38.76040,9.30339,1.85054,5.53086,14.97556,75.92599,18.13938,78.44028,1.34102,0.29617,2.56494,0.30346,7.39518,7.89434,4.47076
OR_19,29,11/6/19,30907,E: 202,3,95.84393,20.91310,32.47366,38.82630,9.34423,2.04070,5.58879,15.32082,76.17557,18.73864,78.79194,1.20088,0.32343,2.86736,0.29626,6.51822,6.94082,3.83214
OR_19,28,11/6/19,30916,E: 201,3,94.25845,19.40033,33.03603,38.52641,9.48830,2.01285,5.54921,15.85548,76.77063,18.73705,79.72305,1.19896,0.31812,3.02398,0.29999,6.74986,7.43050,3.69403
OR_19,32,11/6/19,31010,E: 202,3,94.19737,20.35774,31.43021,37.18268,8.86230,2.18100,5.24748,14.44406,77.87965,17.48487,79.82506,1.11726,0.32347,2.85146,0.29691,6.46400,6.87713,4.84120
OR_19,35,11/6/19,31017,E: 201,3,96.08045,19.11841,34.46356,41.50098,8.89842,1.79155,5.99981,16.49303,74.45831,19.80218,77.57576,1.18279,0.30391,2.79967,0.27780,7.19903,7.56538,3.67686
OR_19,44,11/6/19,31103,E: 201,3,95.77012,19.00023,34.46615,40.57476,9.55390,1.92372,5.81381,16.80587,75.61994,19.78561,78.39828,1.11372,0.32333,3.27916,0.24591,6.41241,7.02894,3.53523
OR_19,47,11/6/19,31118,E: 202,3,94.08224,21.14541,29.11163,34.32644,9.28784,2.29299,4.67138,14.01825,80.31294,16.98643,82.16305,1.17164,0.33073,2.83135,0.31873,6.80105,7.36088,5.09694
OR_19,68,11/8/19,30103,E: 201,4,96.36617,21.44397,28.61767,33.13892,9.12927,2.25128,4.59591,13.85672,81.10243,18.10601,82.70773,1.12037,0.33483,2.99942,0.26948,7.77135,8.18423,4.66184
OR_19,78,11/8/19,30120,E: 202,4,96.82661,17.50195,29.91702,35.38988,8.53369,1.89797,4.78653,13.79836,79.28574,17.68985,80.04870,1.09695,0.27922,2.56543,0.23223,8.71882,9.10972,6.59103
OR_19,65,11/8/19,30210,E: 201,4,96.56294,21.68431,28.25324,32.90603,9.31376,2.19778,4.54242,14.21009,81.87462,18.52554,83.41681,1.13926,0.33072,3.17056,0.26128,7.78481,8.19614,4.47373
OR_19,63,11/8/19,30217,E: 202,4,96.26491,20.71172,28.65097,33.25389,9.07569,2.11488,4.68308,13.62616,80.70104,17.48874,82.24758,1.13069,0.31437,2.78764,0.27333,8.34402,8.75406,4.84791
OR_19,56,11/8/19,30309,E: 202,4,96.59834,21.25742,28.67787,33.48692,9.01602,2.10865,4.77614,13.53922,80.14964,17.31075,81.66211,1.24422,0.31454,2.67017,0.30055,8.30999,8.67504,4.82621
OR_19,74,11/8/19,30311,E: 144,4,96.42632,21.31067,30.17492,35.83368,8.59492,2.11672,5.24795,14.08178,78.54745,17.86020,80.43757,1.22071,0.31522,2.53532,0.28756,7.95413,8.28096,4.18297
OR_19,70,11/8/19,30317,E: 104,4,96.53963,22.00605,28.65392,34.17230,9.02662,2.30656,4.77215,13.89331,80.47878,18.36193,82.06941,1.23029,0.32802,2.72524,0.29322,7.63369,7.70813,4.97514
OR_19,60,11/8/19,30320,E: 201,4,96.64718,20.77467,28.55684,33.90035,9.02287,2.22107,4.68640,14.17992,80.81618,18.50868,82.37820,1.14708,0.32477,2.85302,0.27492,8.08211,8.50704,4.98606
OR_19,71,11/8/19,30406,E: 201,4,96.64481,20.97003,28.48644,33.63670,9.77115,2.20960,4.63235,14.12871,80.74604,18.41702,82.61254,1.19466,0.33080,3.00374,0.26757,7.38127,8.24618,4.97940
OR_19,79,11/8/19,30410,E: 44,4,97.01657,20.52334,29.43896,34.64674,9.13941,2.00585,4.87684,13.79954,79.26477,17.66814,80.67262,1.16391,0.30982,2.77977,0.26882,8.52187,8.65774,4.79249
OR_19,62,11/8/19,30413,E: 202,4,96.46525,20.76689,28.42012,34.08112,8.37102,2.24266,4.86000,13.58839,80.29671,17.65277,81.80198,1.14240,0.31678,2.45292,0.29842,8.54145,8.60474,5.23025
OR_19,61,11/8/19,30414,E: 112,4,96.22747,24.45274,25.21547,28.66314,9.50493,2.30671,4.19445,12.89558,84.37428,16.58581,85.35122,1.29314,0.34833,2.76714,0.34227,8.60676,9.07069,3.96424
OR_19,59,11/8/19,30505,E: 201,4,96.28352,20.89165,27.92952,34.13406,8.44838,2.33716,4.78109,13.82628,80.15739,17.50318,81.70667,1.14904,0.31813,2.19566,0.30456,7.67315,8.51340,5.58679
OR_19,66,11/8/19,30508,E: 202,4,96.24345,21.74365,26.16175,30.89732,8.53178,2.34261,4.26145,13.27283,83.18867,17.61728,84.36102,1.13271,0.32399,2.67935,0.29934,8.54735,8.70971,5.44722
OR_19,77,11/8/19,30601,E: 201,4,96.29623,20.67994,26.36181,31.95113,8.30630,2.26344,4.56323,12.92857,81.50423,17.01789,83.06586,1.24233,0.29343,2.16015,0.32250,8.97458,9.41056,5.15299
OR_19,58,11/8/19,30612,E: 202,4,96.57658,21.43548,27.69934,32.70754,8.76666,2.22948,4.62917,13.52885,81.43344,17.57311,82.79420,1.25491,0.31334,2.66607,0.29003,8.39474,8.64137,4.77650
OR_19,55,11/8/19,30704,E: 201,4,96.47440,21.32547,27.74247,32.24775,9.03327,2.07282,4.78236,13.26941,81.10112,17.44423,82.60282,1.29546,0.30429,2.62870,0.29989,8.79938,9.36770,4.34662
OR_19,67,11/8/19,30719,E: 202,4,96.33920,20.64873,27.87798,32.36524,8.15039,2.15330,4.69148,13.52843,82.23821,17.54960,82.89589,1.11834,0.31323,2.73042,0.27367,8.51400,8.54059,5.43580
OR_19,75,11/8/19,30807,E: 201,4,96.50534,22.35110,29.01596,33.70708,9.20795,2.28332,4.82128,14.53038,81.22157,19.41967,83.41666,1.14461,0.34940,3.24152,0.25941,7.16830,7.53821,3.80469
OR_19,73,11/8/19,30818,E: 202,4,96.75886,20.76061,27.32893,32.32392,8.53145,2.11675,4.69526,13.31745,81.53428,17.33830,82.71917,1.20843,0.30364,2.53498,0.29102,9.16634,9.40094,5.13991
OR_19,80,11/8/19,30819,E: 61,4,96.44229,20.74906,27.70236,34.21084,8.17014,2.14531,4.81060,12.98375,80.34512,17.34944,81.29989,1.28572,0.30160,2.22654,0.30117,8.36528,8.46556,6.30779
OR_19,81,11/8/19,30907,E: 202,4,96.47879,21.79657,28.68921,33.63210,8.30652,2.25460,4.91492,13.99901,81.19770,18.02056,82.20526,1.20274,0.32650,2.56439,0.30033,8.29882,8.23863,4.92965
OR_19,69,11/8/19,30916,E: 201,4,96.62241,21.73499,27.32898,32.22802,8.54978,2.23192,4.70846,13.63685,81.90342,18.04918,83.39102,1.19776,0.31850,2.62085,0.30756,8.58233,8.60515,4.72878
OR_19,64,11/8/19,31010,E: 202,4,96.45483,20.08710,28.67034,33.94033,7.91175,2.06907,5.11434,13.67254,80.19031,17.01895,81.25360,1.22298,0.29523,2.25002,0.31791,9.28584,9.47478,5.08466
OR_19,76,11/8/19,31017,E: 201,4,96.53355,20.87936,28.01982,33.69806,7.97469,2.27011,4.82873,13.61717,80.82568,17.97338,82.07291,1.14917,0.31145,2.40608,0.29491,8.51371,8.49256,5.09033
OR_19,72,11/8/19,31103,E: 201,4,96.40327,20.34402,27.37628,32.62232,8.39805,2.19290,4.56954,13.64398,81.61671,17.83962,82.97694,1.15361,0.30782,2.63048,0.27408,8.24726,8.69507,5.39014
OR_19,57,11/8/19,31118,E: 202,4,96.46212,22.34788,26.41447,31.05679,8.45813,2.27433,4.48154,12.83610,82.03127,16.70424,83.64091,1.29533,0.31007,2.35160,0.34704,9.16330,9.14822,4.69242
