Year,ID,Gen,Variety,Moist,DM,Cprot,Psolu,ADICP,ADICP_pct,NDICP,CP_Av,ADF,aNDF,aNDFo,Ligin,Starc,Su_WS,Su_ES,Ash,Ca,P,Mg,K,S,Fat,T_NDFd30,T_NDFd48,NDFD120,NDFD240,S_NDFd24,S_NDFd30,NDF_I,NDF_Kd,TTNDFD,S_NDFd48,uNDF30,uNDF120,uNDF240,RUP,NDF_D,RFV,T_RFQ,S_RFQ,TTNDFD,NFC,T_Milk30_TDN,T_Milk30_NEL,T_Milk30_NEG,T_Milk30_NEM,T_Milk30,T_Milk48_TDN,T_Milk48_NEL,T_Milk48_NEG,T_Milk48_NEM,T_Milk48_S,S_Milk30_TDN,S_Milk30_NEL,S_Milk30_NEG,S_Milk30_NEM,S_Milk30,S_Milk48_TDN,S_Milk48_NEL,S_Milk48_NEG,S_Milk48_NEM,S_Milk48_S,Lig_TDN,Lig_NEL,Lig_NEG,Lig_NEM,NRC,Cal_TDN,ADF_TDN,ADF_NEL,ADF_NEG,ADF_NEM
18,10111,121,467922,4.86,95.14,20.46,27.39,0.45,2.2,0.81,20.01,32.78,39,35.36,6.63,2.09,7.28,6.43,9.95,1.32,0.29,0.37,2.13,0.29,1.94,46.63,56.5,57.83,59.15,25.86,28.14,40.85,4.12,39.9,46.12,20.81,16.45,15.93,23.04,5.68,151,162.59,146.08,39.14,29.46,61.26,0.62,0.37,0.64,2788.33,60.39,0.62,0.36,0.62,2844.32,56.2,0.6,0.29,0.55,2464.65,58.77,0.61,0.33,0.59,2715.66,60.22,0.66,0.36,0.62,2.33,,,,,
18,10112,84,440503,4.84,95.16,20.65,28.35,0.5,2.43,0.88,20.15,33.53,40.58,37.77,6.95,1.98,7.06,6.55,9.53,1.29,0.27,0.35,2.08,0.28,1.82,45.1,55.09,55.57,58.64,26.08,29.34,41.36,3.91,38.7,45.42,22.28,18.03,16.78,23.84,5.62,144,152.04,137.39,38.57,28.3,60.14,0.61,0.36,0.62,2711.68,59.4,0.61,0.34,0.6,2774.14,56.09,0.59,0.29,0.54,2443.13,57.93,0.6,0.32,0.58,2654.01,59.51,0.66,0.35,0.61,2.35,,,,,
18,10113,133,452499,4.86,95.14,21.02,27.44,0.46,2.17,0.92,20.56,32.63,39.25,35.62,6.62,2.07,7.25,5.85,9.72,1.27,0.28,0.33,2.22,0.28,2.07,46.63,58.97,59.11,59.25,29.48,32.23,40.75,4.19,40.2,47.87,20.95,16.05,15.99,22.62,6.03,150,168.35,149.87,40.53,28.87,61.55,0.62,0.38,0.64,2812.77,61.43,0.62,0.38,0.64,2908.14,58.4,0.61,0.33,0.59,2587.41,59.66,0.62,0.35,0.61,2771.78,60.58,0.66,0.36,0.63,2.35,,,,,
18,10114,125,452481_Lakak,4.7,95.3,19.51,26.41,0.43,2.21,0.6,19.08,32.63,38.62,35.85,6.7,2.51,7.53,6.58,9.19,1.18,0.27,0.31,2.39,0.26,2.19,45.21,55.86,56,56.13,30.65,32.97,43.87,4.95,40.5,47.91,21.16,16.99,16.94,24.12,6.73,153,165.6,154.65,40.59,31.09,61.88,0.63,0.38,0.65,2863.15,61.37,0.63,0.38,0.64,2936.82,59.67,0.62,0.35,0.61,2683.6,60.58,0.63,0.36,0.63,2850.79,61.25,0.66,0.37,0.64,2.34,,,,,
18,10115,202,Hi-Gest360,4.88,95.12,20.3,27.14,0.43,2.13,0.81,19.87,33.59,40.49,36.84,6.67,1.94,7.26,6.1,9.63,1.28,0.29,0.35,2.24,0.28,1.93,47.67,57.38,59.36,61.34,25.97,28.55,38.66,3.62,39.2,45.89,21.19,16.46,15.65,21.97,5.33,144,158.01,138.91,39.03,28.44,61.25,0.62,0.37,0.64,2768.43,60.2,0.61,0.36,0.62,2817.2,55.77,0.59,0.28,0.54,2429.11,58.16,0.6,0.32,0.58,2668.29,60,0.67,0.35,0.62,2.37,,,,,
18,10116,32,467969,4.87,95.13,20.51,27.92,0.44,2.16,0.85,20.07,33.38,40.5,37.59,6.73,2.16,7.23,6.47,9.47,1.24,0.28,0.36,2.14,0.28,1.93,46.65,56.57,58.1,59.63,26.32,29.02,40.37,3.87,39.2,45.89,21.61,16.97,16.35,24.58,5.56,144,156.39,139.24,38.97,28.43,60.99,0.62,0.37,0.63,2761.42,60.09,0.61,0.36,0.62,2817.23,56.15,0.6,0.29,0.54,2453.95,58.31,0.61,0.33,0.58,2681.63,60.06,0.66,0.35,0.62,2.33,,,,,
18,10117,37,468011,4.66,95.34,19.58,26.06,0.45,2.31,0.78,19.12,33.83,41.11,37.37,6.89,2.01,7.1,6.03,9.68,1.2,0.28,0.3,2.49,0.26,1.99,46.16,57.6,58.02,58.43,28.35,30.84,41.57,4.01,39,46.42,22.13,17.26,17.09,22.33,5.85,142,155.76,137.33,39.31,28.43,60.37,0.61,0.36,0.62,2714.69,60,0.61,0.35,0.62,2796.98,56.57,0.59,0.3,0.55,2460.14,58.05,0.6,0.32,0.58,2653.39,59.49,0.66,0.35,0.61,2.34,,,,,
18,10118,13,467953,4.77,95.23,19.08,25.34,0.4,2.12,0.59,18.67,32.57,39.96,37.05,6.47,2.48,7.7,7.12,9.27,1.14,0.27,0.29,2.52,0.25,2.07,48,60.2,60.36,60.52,27.92,31.06,39.48,4.09,40.7,47.79,20.78,15.84,15.78,23.4,5.8,148,168.8,146.94,40.53,30.21,62.11,0.63,0.39,0.65,2838.82,61.83,0.63,0.38,0.65,2926.71,57.76,0.61,0.32,0.57,2555.75,59.58,0.62,0.35,0.61,2767.69,60.89,0.66,0.37,0.63,2.33,,,,,
18,10119,116,467906,4.9,95.1,18.96,27.18,0.44,2.33,0.58,18.52,34.18,42.21,38.64,6.83,2.06,7.19,6.7,9.07,1.25,0.27,0.35,2.11,0.26,1.84,46.59,54.87,57.21,61.66,24.33,27.99,38.34,3.38,38.3,44.6,22.55,18.06,16.18,23.31,5.1,137,145.01,129.02,38.11,28.49,60.34,0.61,0.36,0.62,2703.11,58.86,0.6,0.33,0.59,2730.39,54.77,0.58,0.26,0.52,2364.23,57.08,0.59,0.3,0.56,2596.38,59.55,0.66,0.35,0.61,2.33,,,,,
18,10120,164,AFX008,5.05,94.95,22.95,31.35,0.46,1.99,1.01,22.49,29.91,36.43,33.26,5.88,2.51,7.23,7.09,9.86,1.2,0.3,0.34,2.33,0.3,2.13,49.2,63.55,63.75,63.95,29.17,32.25,36.05,3.66,41.1,48.98,18.51,13.21,13.14,24.39,5.51,167,195.2,167.69,41.57,29.64,63.78,0.65,0.42,0.68,2977.97,64.05,0.65,0.42,0.69,3094.44,59.95,0.63,0.35,0.61,2711.97,61.45,0.64,0.38,0.64,2912.1,62.46,0.69,0.39,0.66,2.42,,,,,
18,10201,35,468005,5.46,94.54,20.33,27.07,0.41,2.01,0.87,19.93,32.2,39.37,35.31,6.39,2.15,7.04,6.55,10.15,1.22,0.29,0.34,2.37,0.28,2.03,45.83,57.22,58.95,60.69,28.03,30.39,39.31,3.66,39,46.56,21.33,16.16,15.48,23.51,5.52,151,162.31,145.11,39.48,28.99,60.71,0.62,0.37,0.63,2751.86,60.37,0.61,0.36,0.62,2834.94,57,0.6,0.3,0.56,2497.76,58.68,0.61,0.33,0.59,2702.47,60.39,0.66,0.36,0.62,2.33,,,,,
18,10202,146,Dove,5.38,94.62,19.55,26.5,0.44,2.27,0.77,19.11,32.89,40.24,37.01,6.66,2.17,7.15,6.78,9.85,1.2,0.27,0.33,2.35,0.27,1.99,44.17,55.65,56.19,59.82,26.06,29.04,40.18,3.31,36.8,44.1,22.47,17.63,16.17,24.63,5.21,146,154.76,135.78,37.53,29.14,59.83,0.61,0.35,0.61,2699.14,59.65,0.61,0.35,0.61,2789.42,56.03,0.59,0.29,0.54,2442.24,57.54,0.6,0.31,0.57,2635.74,59.91,0.66,0.35,0.61,2.35,,,,,
18,10203,43,467979,5.11,94.89,21.12,29.15,0.45,2.14,0.86,20.67,32.25,39.37,36.94,6.42,2.19,7.18,6.66,9.48,1.23,0.29,0.35,2.22,0.28,2.03,47.35,58.78,59.7,62.24,27.98,31.15,37.76,3.65,40,47.48,20.73,15.87,14.87,24.21,5.48,151,167.64,148.67,40.32,28.85,61.92,0.63,0.39,0.65,2834.12,61.46,0.62,0.38,0.64,2912.43,57.96,0.61,0.32,0.58,2568.53,59.6,0.62,0.35,0.61,2771.68,60.97,0.67,0.37,0.63,2.36,,,,,
18,10204,24,502646,5.38,94.62,19.68,27.51,0.44,2.26,0.71,19.24,33.46,41.39,38.47,6.79,2.44,7.37,7.12,8.72,1.19,0.27,0.32,2.21,0.27,1.89,46.65,56.69,57,60.64,26.76,30.04,39.36,3.18,36.6,44.45,22.08,17.79,16.29,24.62,5.17,141,154.13,133.36,37.84,29.03,61.22,0.62,0.37,0.64,2780.12,60.34,0.62,0.36,0.62,2837.23,56.78,0.6,0.3,0.56,2494.69,57.95,0.61,0.32,0.58,2671.13,60.33,0.65,0.36,0.62,2.32,,,,,
18,10205,202,Hi-Gest360,5.21,94.79,20.69,27.86,0.46,2.24,0.95,20.22,35.03,42.74,40.29,7.03,1.35,6.81,5.48,9.33,1.19,0.3,0.32,2.47,0.27,1.9,47.9,60.02,60.64,61.25,29.29,32.18,38.75,3.83,40.1,48,22.27,16.82,16.56,23.26,5.72,134,154.84,134.21,40.67,26.3,60.56,0.61,0.36,0.63,2699.3,60.24,0.6,0.36,0.62,2785.81,56.56,0.59,0.3,0.55,2438.97,58,0.59,0.32,0.58,2630.01,59.06,0.66,0.34,0.6,2.33,,,,,
18,10206,104,22287_ArcherFD5,4.86,95.14,21.9,30.82,0.51,2.34,0.86,21.38,32.78,38.05,34.88,6.91,2.2,7.28,6.8,9.26,1.14,0.3,0.32,2.54,0.29,2,45.62,56.03,56.27,56.52,29.01,31.95,43.48,4.07,37.9,45.76,20.69,16.64,16.54,25.66,6.05,155,168.32,152.02,38.73,29.66,62.05,0.63,0.39,0.65,2872.52,61.44,0.63,0.38,0.64,2941.2,59.26,0.62,0.34,0.6,2662.6,59.9,0.63,0.35,0.61,2814.77,60.92,0.67,0.37,0.63,2.37,,,,,
18,10207,76,452476,5.1,94.9,19.91,27.59,0.39,1.97,0.71,19.52,32.52,39.53,36.88,6.33,2.43,7.8,7.1,9.82,1.15,0.28,0.33,2.37,0.26,2.02,48.25,59.01,59.74,62.49,25.9,29.36,37.51,3.43,39.1,45.94,20.45,15.91,14.82,24.04,5.2,150,166.58,143.53,39.16,29.43,61.86,0.62,0.38,0.65,2814.36,61.11,0.62,0.37,0.64,2878.56,56.65,0.6,0.3,0.55,2486.74,58.62,0.61,0.33,0.59,2705.74,60.69,0.66,0.37,0.63,2.33,,,,,
18,10208,107,22300_Lahontan,5.69,94.31,19.92,27.12,0.4,2.02,0.71,19.51,31,38.43,35.34,6.2,3.08,7.79,6.97,8.87,1.17,0.27,0.35,2.01,0.29,1.95,45.56,55.19,57.43,61.56,22.73,25.96,38.44,3.02,36.3,42.24,20.92,16.36,14.77,25.88,4.76,157,165.13,142.78,36.27,31.55,62.19,0.64,0.39,0.66,2884.77,61.34,0.63,0.38,0.64,2940.78,56.59,0.61,0.3,0.55,2530.29,58.83,0.62,0.33,0.59,2762.73,62.04,0.67,0.39,0.65,2.37,,,,,
18,10209,158,AFX002,5.04,94.96,22.79,31.64,0.53,2.32,1.01,22.26,32.7,38.42,35.41,6.85,1.24,6.42,5.15,10.89,1.36,0.3,0.38,2.44,0.31,1.95,45.12,55.74,56.77,57.81,30.61,33.39,42.19,5.03,42,49.21,21.09,16.61,16.21,21.43,6.7,154,161.38,153.91,41.72,26.95,60.04,0.61,0.35,0.62,2704.5,59.53,0.61,0.35,0.61,2778,58.08,0.6,0.32,0.58,2537.35,59.22,0.61,0.34,0.6,2717.3,59.25,0.67,0.34,0.6,2.37,,,,,
18,10210,195,54Q14,4.82,95.18,19.96,27.04,0.48,2.38,0.76,19.49,34.93,42.36,39.04,7.12,1.72,7.12,6.1,9.36,1.16,0.28,0.31,2.43,0.27,1.88,47.58,57.51,58.55,59.58,25.27,28.3,40.42,3.89,39.3,45.54,22.21,17.56,17.12,24.55,5.51,135,150.17,130.04,38.72,27.19,60.5,0.61,0.36,0.63,2699.9,59.47,0.6,0.34,0.61,2751.32,54.66,0.58,0.26,0.52,2348.67,57.17,0.59,0.31,0.56,2590.97,58.92,0.65,0.34,0.6,2.32,,,,,
