trait,FD,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
ADF,1,28.7636023088936,0.287506636662627,29.3416111854664,28.1855934323207,Estimable
ADF,2,30.0511512023482,0.0924697589386652,30.2370541856724,29.865248219024,Estimable
ADF,3,29.8285872677432,0.281985331862628,30.3954960068663,29.2616785286201,Estimable
ADF,4,29.5192740946419,0.278966255639748,30.0801132248122,28.9584349644716,Estimable
ADF,5,30.2208451130407,0.282205254906992,30.7881959896855,29.6534942363959,Estimable
ADF,6,29.9934734488356,0.280123941219548,30.5566400123799,29.4303068852913,Estimable
aNDF,1,33.6710490595638,0.343183184503733,34.3587475247296,32.9833505943979,Estimable
aNDF,2,35.2348644821712,0.112641630293283,35.4605849712985,35.0091439930438,Estimable
aNDF,3,34.9459283844493,0.336604212442694,35.6204433686258,34.2714134002727,Estimable
aNDF,4,34.6074094907868,0.336692853854212,35.2821021018559,33.9327168797176,Estimable
aNDF,5,35.3532357917362,0.336864990276783,36.0282733438134,34.678198239659,Estimable
aNDF,6,35.3386088366608,0.33899701339862,36.0179187106196,34.6592989627019,Estimable
Ash,1,9.60234934810235,0.0915661950768326,9.78371767377127,9.42098102243343,Estimable
Ash,2,9.59880596380773,0.0291831074990987,9.65660995293807,9.5410019746774,Estimable
Ash,3,9.35389340565635,0.0910732863199472,9.53428540992337,9.17350140138932,Estimable
Ash,4,9.47289120956009,0.0875135892250756,9.64623239882444,9.29955002029573,Estimable
Ash,5,9.53526283963379,0.0911076429674754,9.7157228952994,9.35480278396819,Estimable
Ash,6,9.58504742606979,0.0884660190001351,9.76027512589052,9.40981972624907,Estimable
Ca,1,1.35608931843478,0.0158754590912831,1.38739503388284,1.32478360298672,Estimable
Ca,2,1.33920307770718,0.00479548039660003,1.34865955665809,1.32974659875628,Estimable
Ca,3,1.32130052082749,0.0157780202617016,1.35241409113789,1.2901869505171,Estimable
Ca,4,1.30218950660203,0.0151186868532776,1.33200290008285,1.27237611312122,Estimable
Ca,5,1.33763557797214,0.015713934527009,1.36862277399861,1.30664838194566,Estimable
Ca,6,1.45249858608857,0.0153721503768683,1.48281179862346,1.42218537355369,Estimable
Cprot,1,22.8250477321147,0.225989526612218,23.27068925805,22.3794062061794,Estimable
Cprot,2,22.0833081097535,0.0717278199882037,22.2247522537842,21.9418639657229,Estimable
Cprot,3,22.3593210575068,0.224225677137495,22.8014843489273,21.9171577660862,Estimable
Cprot,4,22.3437407477046,0.215602024818138,22.7688985714986,21.9185829239105,Estimable
Cprot,5,22.8408193829384,0.223597712252704,23.2817443548948,22.3998944109819,Estimable
Cprot,6,22.1405535725643,0.217845510767896,22.5701354531589,21.7109716919697,Estimable
dNDF30,1,14.148725008407,0.132900833198928,14.4112556040146,13.8861944127993,Estimable
dNDF30,2,14.682775798175,0.041801075879857,14.7653491055323,14.6002024908177,Estimable
dNDF30,3,14.4032440464192,0.132091239801052,14.6641753816473,14.1423127111911,Estimable
dNDF30,4,14.0619214750184,0.128760766894676,14.3162738369269,13.8075691131099,Estimable
dNDF30,5,14.7206515524465,0.131888599567966,14.9811825947659,14.460120510127,Estimable
dNDF30,6,13.9701358262551,0.131465666045552,14.2298314111371,13.7104402413731,Estimable
dNDF48,1,16.344540789656,0.137475482040184,16.6181574590382,16.0709241202739,Estimable
dNDF48,2,16.892465033135,0.0432828010722647,16.9786105457397,16.8063195205304,Estimable
dNDF48,3,16.5309165636297,0.135043094018598,16.7996920649778,16.2621410622816,Estimable
dNDF48,4,16.1043565987159,0.132752545320664,16.3685732340285,15.8401399634033,Estimable
dNDF48,5,16.8314557318293,0.135241177735336,17.1006254780714,16.5622859855873,Estimable
dNDF48,6,16.2332773411614,0.134630356900563,16.5012313741728,15.9653233081499,Estimable
Fat,1,2.05773418805606,0.0181254263847337,2.09385479452387,2.02161358158825,Estimable
Fat,2,1.96204968963986,0.00599654213229688,1.97399968374928,1.95009969553044,Estimable
Fat,3,1.96315899677075,0.0179049258326576,1.99884018661473,1.92747780692678,Estimable
Fat,4,1.9479955702369,0.0177494251490739,1.98336687611577,1.91262426435802,Estimable
Fat,5,1.92549876667489,0.0178925068778378,1.96115520784977,1.88984232550001,Estimable
Fat,6,1.89297231699686,0.0179960571209437,1.92883511456312,1.8571095194306,Estimable
IVTDMD30,1,80.8762811989062,0.299152363886198,81.4672229287517,80.2853394690607,Estimable
IVTDMD30,2,79.5252759851781,0.0975674682604013,79.7180095063893,79.3325424639669,Estimable
IVTDMD30,3,79.3230868748155,0.293099372102762,79.9020716025876,78.7441021470433,Estimable
IVTDMD30,4,79.5499766876421,0.292317834203377,80.1274175755054,78.9725357997789,Estimable
IVTDMD30,5,78.8237732990332,0.293676187254116,79.4038974600323,78.2436491380341,Estimable
IVTDMD30,6,78.5469629187317,0.294634468471518,79.1289800561156,77.9649457813478,Estimable
IVTDMD48,1,83.0980810627196,0.267693607129715,83.6618777853816,82.5342843400576,Estimable
IVTDMD48,2,82.1034382139302,0.0879161018758622,82.2886006861995,81.9182757416609,Estimable
IVTDMD48,3,81.8403895180604,0.261909372293731,82.3920039077986,81.2887751283222,Estimable
IVTDMD48,4,81.9329073650232,0.260802974040083,82.4821915395723,81.3836231904742,Estimable
IVTDMD48,5,81.4465697890672,0.262248805303547,81.998899067818,80.8942405103163,Estimable
IVTDMD48,6,81.3654198610608,0.261904224989842,81.9170234099235,80.8138163121981,Estimable
K,1,2.4729051289228,0.0293395685061277,2.53153194729555,2.41427831055006,Estimable
K,2,2.51565009565308,0.00951936444160165,2.53467184950148,2.49662834180468,Estimable
K,3,2.4664953656372,0.0293082461161365,2.52505959508439,2.40793113619,Estimable
K,4,2.5543792997859,0.0283981770849861,2.61112501401584,2.49763358555595,Estimable
K,5,2.48599653156051,0.0292063075446688,2.54435706564274,2.42763599747828,Estimable
K,6,2.37893227156442,0.0291373895035727,2.43715509245986,2.32070945066897,Estimable
Lignin,1,5.45707331539759,0.0616294851513387,5.57860398196064,5.33554264883454,Estimable
Lignin,2,5.7247910734103,0.0193098403199862,5.76286923939775,5.68671290742284,Estimable
Lignin,3,5.66788820248818,0.0604657176438055,5.78712397009876,5.54865243487759,Estimable
Lignin,4,5.64419658805842,0.0594124483815798,5.7613553544545,5.52703782166235,Estimable
Lignin,5,5.74334102653915,0.0604552291625772,5.86255611132053,5.62412594175777,Estimable
Lignin,6,5.73302387035505,0.0595843690653569,5.85052165686859,5.6155260838415,Estimable
Mg,1,0.364584517732474,0.00446339731285151,0.373599873571199,0.355569161893749,Estimable
Mg,2,0.349985687972022,0.0013355628737463,0.352683313504292,0.347288062439753,Estimable
