trait,variable,cv,max,mean,median,min,sd.amo,se,ci
DM,ID_1,0.0063,93.0043,92.9981,92.9998,92.9869,0.0058,0.0022,0.0054
DM,ID_2,0.0215,94.218,94.1987,94.1999,94.1584,0.0202,0.0076,0.0187
DM,ID_3,0.0259,95.5486,95.5194,95.5245,95.4714,0.0248,0.0094,0.0229
DM,ID_4,0.1736,95.4432,95.2654,95.2849,94.9371,0.1654,0.0625,0.153
DM,OR_1,0.0105,94.2333,94.2249,94.2269,94.2042,0.0098,0.0037,0.0091
DM,OR_2,0.0185,96.1805,96.1517,96.1533,96.1341,0.0177,0.0067,0.0164
DM,OR_3,0.0508,97.7063,97.6432,97.6532,97.5503,0.0496,0.0188,0.0459
DM,OR_4,0.1275,98.8303,98.5818,98.5629,98.4339,0.1257,0.0475,0.1163
DM,WA_1,0.0073,93.9599,93.9547,93.9566,93.9398,0.0069,0.0026,0.0064
DM,WA_2,0.071,94.6533,94.5376,94.5209,94.4674,0.0671,0.0254,0.0621
DM,WA_3,0.0086,94.0758,94.0697,94.0716,94.0523,0.0081,0.0031,0.0075
DM,WA_4,0.0049,93.7302,93.7268,93.7276,93.7166,0.0046,0.0017,0.0043
DM,WA_5,0.0033,93.509,93.5064,93.5081,93.5009,0.0031,0.0012,0.0029
dNDF30,ID_2,1.5573,15.6219,15.3112,15.3533,14.9178,0.2384,0.0901,0.2205
dNDF30,ID_3,1.5495,16.4411,16.1376,16.1696,15.7226,0.25,0.0945,0.2313
dNDF30,ID_4,5.0023,14.9526,14.301,14.4189,12.8364,0.7154,0.2704,0.6616
dNDF30,OR_2,2.7117,15.075,14.3855,14.3385,13.9547,0.3901,0.1474,0.3608
dNDF30,OR_3,3.0497,14.8078,13.9024,13.7227,13.5932,0.424,0.1603,0.3921
dNDF30,OR_4,1.1588,12.4273,12.2144,12.2188,12.0112,0.1415,0.0535,0.1309
dNDF30,WA_2,0.4898,13.2858,13.1867,13.1889,13.0714,0.0646,0.0244,0.0597
dNDF30,WA_3,0.2951,12.5247,12.4749,12.4777,12.4245,0.0368,0.0139,0.034
dNDF30,WA_4,0.3374,12.1481,12.0869,12.0834,12.0151,0.0408,0.0154,0.0377
dNDF30,WA_5,0.3566,12.0889,12.023,12.0259,11.9477,0.0429,0.0162,0.0397
dNDF48,ID_2,3.9053,18.4227,17.6279,17.6499,16.6815,0.6884,0.2602,0.6367
dNDF48,ID_3,1.3919,17.8993,17.5232,17.4284,17.1875,0.2439,0.0922,0.2256
dNDF48,ID_4,3.6981,15.7275,15.2161,15.3619,14.0611,0.5627,0.2127,0.5204
dNDF48,OR_2,2.8631,17.8576,17.0479,16.8298,16.6206,0.4881,0.1845,0.4514
dNDF48,OR_3,2.0577,17.3216,16.5881,16.4857,16.2712,0.3413,0.129,0.3157
dNDF48,OR_4,1.5953,16.1524,15.7599,15.7419,15.3628,0.2514,0.095,0.2325
dNDF48,WA_2,0.9104,16.8881,16.6567,16.6676,16.3758,0.1516,0.0573,0.1402
dNDF48,WA_3,0.519,16.4595,16.3227,16.3313,16.1809,0.0847,0.032,0.0783
dNDF48,WA_4,1.2329,16.0909,15.8252,15.9008,15.5492,0.1951,0.0737,0.1804
dNDF48,WA_5,1.7757,15.5779,15.2901,15.4203,14.8086,0.2715,0.1026,0.2511
Fat,ID_1,0.4211,2.0336,2.0159,2.0145,2.0078,0.0085,0.0032,0.0079
Fat,ID_2,1.3766,2.5879,2.5167,2.5146,2.4779,0.0346,0.0131,0.032
Fat,ID_3,5.5695,2.0364,1.8495,1.8175,1.7195,0.103,0.0389,0.0953
Fat,ID_4,0.4214,2.0336,2.0158,2.0145,2.0078,0.0085,0.0032,0.0079
Fat,OR_1,0.4189,2.0337,2.016,2.0145,2.0081,0.0084,0.0032,0.0078
Fat,OR_2,0.4246,2.0335,2.0157,2.0144,2.0075,0.0086,0.0032,0.0079
Fat,OR_3,4.8518,1.913,1.772,1.7555,1.6818,0.086,0.0325,0.0795
Fat,OR_4,2.1268,2.0996,2.0499,2.0457,1.9756,0.0436,0.0165,0.0403
Fat,WA_1,0.4219,2.0336,2.0158,2.0144,2.0078,0.0085,0.0032,0.0079
Fat,WA_2,0.4221,2.0336,2.0158,2.0144,2.0077,0.0085,0.0032,0.0079
Fat,WA_3,0.4225,2.0336,2.0158,2.0144,2.0077,0.0085,0.0032,0.0079
Fat,WA_4,7.3538,2.6231,2.3195,2.3227,2.1096,0.1706,0.0645,0.1578
Fat,WA_5,0.422,2.0336,2.0158,2.0144,2.0078,0.0085,0.0032,0.0079
IVTDMD30,ID_2,1.4555,75.6603,74.2031,74.2013,72.8598,1.08,0.4082,0.9988
IVTDMD30,ID_3,0.2123,77.3523,77.1206,77.0939,76.9176,0.1638,0.0619,0.1514
IVTDMD30,ID_4,0.1327,82.6821,82.589,82.6284,82.4217,0.1096,0.0414,0.1013
IVTDMD30,OR_2,0.2348,76.8074,76.5615,76.5315,76.3288,0.1798,0.0679,0.1662
