trait,variable,cv,max,mean,median,min,sd.amo,se,ci
ADF,104,10.9385,34.3542,29.3348,29.1748,20.0661,3.2088,0.6841,1.4227
ADF,112,11.3612,33.36,28.8679,28.7102,19.769,3.2798,0.6992,1.4542
ADF,144,11.3462,33.8429,29.3749,29.5053,19.5093,3.3329,0.7106,1.4777
ADF,201,11.4676,34.7328,29.6615,29.82,20.6377,3.4015,0.7252,1.5081
ADF,202,10.9242,32.7813,28.715,28.8101,19.6867,3.1369,0.6688,1.3908
ADF,44,13.2735,34.0025,29.4302,29.7019,16.6075,3.9064,0.8328,1.732
ADF,61,10.625,33.9191,29.502,29.2622,21.0596,3.1346,0.6683,1.3898
aNDF,104,11.38,40.6093,33.9224,34.4879,23.4009,3.8604,0.823,1.7116
aNDF,112,11.0763,38.8854,33.3229,33.5124,23.5261,3.6909,0.7869,1.6365
aNDF,144,11.4792,39.6987,33.9481,34.5898,22.9922,3.897,0.8308,1.7278
aNDF,201,11.4638,40.894,34.3949,34.9505,24.3329,3.943,0.8406,1.7482
aNDF,202,10.8029,38.3395,33.182,33.6492,23.0564,3.5846,0.7642,1.5893
aNDF,44,14.2753,40.5226,34.0871,34.8237,18.1198,4.866,1.0374,2.1575
aNDF,61,10.842,40.1344,34.346,34.8671,25.9347,3.7238,0.7939,1.651
Ash,104,6.9878,10.9102,9.6193,9.7301,7.9841,0.6722,0.1433,0.298
Ash,112,6.6608,10.8778,9.6628,9.7028,8.2174,0.6436,0.1372,0.2854
Ash,144,6.7883,10.8805,9.5802,9.6259,8.1325,0.6503,0.1387,0.2883
Ash,201,5.8818,10.8815,9.7328,9.8025,8.3916,0.5725,0.122,0.2538
Ash,202,6.0196,10.7549,9.6423,9.6922,8.3936,0.5804,0.1237,0.2573
Ash,44,7.2586,10.9222,9.6019,9.6524,8.0197,0.697,0.1486,0.309
Ash,61,7.0518,10.9047,9.5829,9.7005,8.1013,0.6758,0.1441,0.2996
Ca,104,13.8941,2.0281,1.3465,1.31,1.0598,0.1871,0.0399,0.0829
Ca,112,13.059,2.0147,1.3515,1.3072,1.1761,0.1765,0.0376,0.0783
Ca,144,16.3497,2.0525,1.3176,1.2664,0.9231,0.2154,0.0459,0.0955
Ca,201,14.4385,2.0813,1.3467,1.2906,1.1189,0.1944,0.0415,0.0862
Ca,202,13.8042,2.0286,1.3459,1.2971,1.1067,0.1858,0.0396,0.0824
Ca,44,14.3235,2.0157,1.3288,1.2687,1.0462,0.1903,0.0406,0.0844
Ca,61,12.7288,2.0365,1.3714,1.319,1.2446,0.1746,0.0372,0.0774
Cprot,104,7.5505,25.5735,22.7464,22.0278,20.7696,1.7175,0.3662,0.7615
Cprot,112,6.7526,25.4086,22.5906,22.0154,20.8165,1.5254,0.3252,0.6763
Cprot,144,7.2902,25.3617,22.3897,21.8333,20.5364,1.6323,0.348,0.7237
Cprot,201,8.6258,25.3518,22.4437,21.7567,19.5915,1.9359,0.4127,0.8583
Cprot,202,7.3394,26.1031,22.894,22.2032,20.4403,1.6803,0.3582,0.745
Cprot,44,7.7346,25.4522,22.5205,21.7827,20.5455,1.7419,0.3714,0.7723
Cprot,61,7.7238,25.6187,22.6582,21.9388,20.6105,1.7501,0.3731,0.7759
DM,104,1.5617,98.5629,94.5666,94.1446,92.8777,1.4768,0.3149,0.6548
DM,112,1.5347,98.4339,94.5369,94.134,92.8647,1.4509,0.3093,0.6433
DM,144,1.5491,98.5092,94.5735,94.1331,92.8292,1.4651,0.3124,0.6496
DM,201,1.567,98.6092,94.5694,94.1428,92.9305,1.4819,0.3159,0.657
DM,202,1.565,98.609,94.5345,94.1053,92.7939,1.4795,0.3154,0.656
DM,44,1.6174,98.8303,94.5822,94.1468,92.7742,1.5297,0.3261,0.6782
DM,61,1.5571,98.5181,94.5525,94.1327,92.832,1.4723,0.3139,0.6528
dNDF30,104,11.8912,16.1337,13.5909,13.9137,9.7692,1.6161,0.404,0.8612
dNDF30,112,12.668,16.2883,13.4513,13.3842,9.5424,1.704,0.426,0.908
dNDF30,144,11.1128,15.8979,13.5317,13.9024,9.9783,1.5038,0.3759,0.8013
dNDF30,201,12.7774,16.4411,13.806,14.4434,9.6035,1.764,0.441,0.94
dNDF30,202,10.8084,15.7226,13.3935,13.7951,9.9775,1.4476,0.3619,0.7714
dNDF30,44,12.6976,16.3096,13.7096,14.1086,9.6195,1.7408,0.4352,0.9276
dNDF30,61,12.0474,16.1696,13.5398,13.8073,9.7104,1.6312,0.4078,0.8692
dNDF48,104,10.1678,18.6395,16.2709,16.5766,11.2368,1.6544,0.4136,0.8816
dNDF48,112,16.5519,20.0897,16.0477,16.5708,7.9545,2.6562,0.6641,1.4154
dNDF48,144,10.0386,18.7741,16.1591,16.5828,11.1791,1.6221,0.4055,0.8644
dNDF48,201,11.189,19.4135,16.4992,16.89,10.8301,1.8461,0.4615,0.9837
dNDF48,202,11.1068,18.431,15.8293,16.2261,10.4573,1.7581,0.4395,0.9368
dNDF48,44,13.0522,19.3701,16.3234,16.6601,9.7396,2.1306,0.5326,1.1353
dNDF48,61,10.5513,18.9144,16.2274,16.5236,10.9671,1.7122,0.428,0.9124
Fat,104,6.4763,2.4779,2.0249,2.0144,1.7555,0.1311,0.028,0.0581
Fat,112,8.4668,2.6231,2.065,2.018,1.7939,0.1748,0.0373,0.0775
Fat,144,7.7116,2.5206,2.0562,2.0149,1.7001,0.1586,0.0338,0.0703
Fat,201,8.2225,2.5146,2.0553,2.0117,1.722,0.169,0.036,0.0749
Fat,202,8.2143,2.5879,2.0958,2.0336,1.8635,0.1722,0.0367,0.0763
Fat,44,9.1888,2.5596,2.0338,2.0105,1.7195,0.1869,0.0398,0.0829
Fat,61,7.8241,2.4954,2.0215,2.0078,1.6818,0.1582,0.0337,0.0701
IVTDMD30,104,3.7559,83.616,78.7611,78.7104,72.8598,2.9582,0.7395,1.5763
IVTDMD30,112,3.7914,83.8912,79.4388,79.4299,74.111,3.0119,0.753,1.6049
IVTDMD30,144,3.8087,83.845,79.1202,78.997,73.8337,3.0135,0.7534,1.6058
IVTDMD30,201,3.6315,83.9859,79.1515,79.3318,73.5043,2.8744,0.7186,1.5316
IVTDMD30,202,3.3533,83.8935,79.4367,79.851,74.1934,2.6637,0.6659,1.4194
IVTDMD30,44,4.4498,87.0943,79.0488,79.0356,73.188,3.5175,0.8794,1.8743
IVTDMD30,61,3.5435,83.6721,78.4811,78.6568,73.6908,2.781,0.6952,1.4819
IVTDMD48,104,2.8926,86.6835,82.8204,82.7679,77.2165,2.3957,0.5989,1.2766
IVTDMD48,112,2.8506,86.8311,83.2843,83.187,77.3457,2.3741,0.5935,1.2651
IVTDMD48,144,2.9962,86.8471,83.0222,82.9668,76.9617,2.4875,0.6219,1.3255
IVTDMD48,201,2.8576,86.383,83.1275,82.9894,76.9794,2.3754,0.5939,1.2658
IVTDMD48,202,2.5619,86.7658,83.3326,83.1647,77.8703,2.1349,0.5337,1.1376
IVTDMD48,44,3.5298,90.214,83.0239,82.6041,77.0404,2.9306,0.7326,1.5616
IVTDMD48,61,2.9344,86.0627,82.5785,82.6746,76.807,2.4232,0.6058,1.2912
K,104,11.1175,3.1055,2.5635,2.5833,1.9315,0.285,0.0608,0.1264
K,112,9.8906,3.0663,2.5974,2.6188,1.9962,0.2569,0.0548,0.1139
K,144,11.091,3.0908,2.5902,2.6144,1.9577,0.2873,0.0612,0.1274
K,201,10.6015,3.0896,2.6038,2.618,1.9863,0.276,0.0589,0.1224
K,202,10.397,3.0233,2.5637,2.6039,1.8824,0.2665,0.0568,0.1182
K,44,9.3036,3.076,2.6057,2.5996,2.153,0.2424,0.0517,0.1075
K,61,12.2714,3.0687,2.5394,2.5743,1.8587,0.3116,0.0664,0.1382
Lignin,104,11.6555,6.5647,5.3687,5.3027,3.9622,0.6257,0.1334,0.2774
Lignin,112,11.3132,6.4757,5.2582,5.2563,3.9611,0.5949,0.1268,0.2638
Lignin,144,11.8541,6.588,5.355,5.3047,3.9415,0.6348,0.1353,0.2814
Lignin,201,11.1889,6.7248,5.3995,5.3606,4.1938,0.6041,0.1288,0.2679
Lignin,202,10.4988,6.2804,5.2153,5.2332,3.9435,0.5475,0.1167,0.2428
Lignin,44,13.6621,6.6349,5.3444,5.3363,3.2218,0.7302,0.1557,0.3237
Lignin,61,11.4702,6.6881,5.4254,5.3408,4.2335,0.6223,0.1327,0.2759
Mg,104,9.0971,0.4283,0.3505,0.3525,0.3017,0.0319,0.0068,0.0141
Mg,112,12.0907,0.4404,0.3479,0.3519,0.2704,0.0421,0.009,0.0186
Mg,144,14.3677,0.4495,0.34,0.3403,0.2513,0.0488,0.0104,0.0217
Mg,201,10.9155,0.4258,0.348,0.3538,0.2863,0.038,0.0081,0.0168
Mg,202,9.9599,0.4247,0.3547,0.3625,0.2966,0.0353,0.0075,0.0157
Mg,44,13.4402,0.4659,0.3419,0.3388,0.2792,0.0459,0.0098,0.0204
Mg,61,8.6487,0.4221,0.3536,0.3574,0.3037,0.0306,0.0065,0.0136
P,104,7.4203,0.3918,0.3269,0.3249,0.252,0.0243,0.0052,0.0108
P,112,6.611,0.3886,0.3283,0.3268,0.2677,0.0217,0.0046,0.0096
P,144,7.3355,0.3884,0.3249,0.3235,0.2493,0.0238,0.0051,0.0106
P,201,9.7834,0.3985,0.3231,0.327,0.2411,0.0316,0.0067,0.014
P,202,9.6666,0.4063,0.3258,0.3282,0.2498,0.0315,0.0067,0.014
P,44,7.7631,0.3914,0.3246,0.3259,0.2511,0.0252,0.0054,0.0112
P,61,8.8844,0.3867,0.3202,0.3248,0.2349,0.0285,0.0061,0.0126
Starch,104,14.6025,4.6194,3.2404,3.1412,2.6754,0.4732,0.1183,0.2521
Starch,112,16.798,4.5703,3.2279,3.1562,2.3767,0.5422,0.1356,0.2889
Starch,144,16.0296,4.3727,3.2325,3.146,2.4244,0.5182,0.1295,0.2761
Starch,201,15.3161,4.5597,3.1511,3.0956,2.4651,0.4826,0.1207,0.2572
Starch,202,15.9938,4.8812,3.2379,3.1211,2.5541,0.5179,0.1295,0.276
Starch,44,14.3644,4.4336,3.2577,3.1358,2.6469,0.4679,0.117,0.2493
Starch,61,22.2757,5.6562,3.295,3.1492,2.4621,0.734,0.1835,0.3911
Su_ESC,104,13.9335,8.4531,6.5981,6.6649,4.5181,0.9193,0.2298,0.4899
Su_ESC,112,19.9735,9.006,6.6663,6.647,3.7556,1.3315,0.3329,0.7095
Su_ESC,144,17.6475,8.7955,6.6218,6.6871,3.9653,1.1686,0.2921,0.6227
Su_ESC,201,16.703,8.5359,6.4998,6.6186,4.067,1.0857,0.2714,0.5785
Su_ESC,202,16.7499,8.8851,6.7958,6.8315,4.1932,1.1383,0.2846,0.6066
Su_ESC,44,14.0992,8.5806,6.6367,6.7248,4.5123,0.9357,0.2339,0.4986
Su_ESC,61,17.2161,8.7947,6.6874,6.7043,4.0831,1.1513,0.2878,0.6135
Su_WSC,104,12.7966,9.1064,7.3925,7.5002,4.9388,0.946,0.2365,0.5041
Su_WSC,112,13.475,9.1229,7.5523,7.8352,5.038,1.0177,0.2544,0.5423
Su_WSC,144,12.8707,9.1172,7.4284,7.5534,4.9294,0.9561,0.239,0.5095
Su_WSC,201,12.9921,9.0754,7.3383,7.4608,4.9665,0.9534,0.2383,0.508
Su_WSC,202,11.5017,9.0792,7.5569,7.7311,5.4214,0.8692,0.2173,0.4631
Su_WSC,44,13.2253,9.1403,7.4106,7.5363,4.8447,0.9801,0.245,0.5222
Su_WSC,61,12.5314,9.0912,7.4472,7.5634,5.0121,0.9332,0.2333,0.4973
