trait,term,Df,Sum Sq,Mean Sq,F value,Pr(>F)
ADF,FD,5,61.9207149328864,12.3841429865773,10.5955154473853,1.51005097662777e-05
ADF,loc,2,20.0644859977479,10.0322429988739,8.58329767200711,0.00145259119000491
ADF,year,3,153.887805362391,51.2959351207969,43.8873221626693,4.13123082793448e-10
ADF,cut,4,692.010316629334,173.002579157334,148.016015471221,5.11505626333048e-17
ADF,FD:loc,10,22.8149017113047,2.28149017113047,1.95197716769513,0.0850801375040516
ADF,FD:year,15,113.476969744288,7.56513131628589,6.47250809443046,2.39695982267487e-05
ADF,FD:cut,20,87.4086478773674,4.37043239386837,3.73921586590013,0.00111440762871564
ADF,loc:year,5,360.224938616882,72.0449877233764,61.639612943511,3.00058785277156e-13
ADF,loc:cut,6,164.227835773764,27.3713059622939,23.4180996983748,3.97068842945119e-09
ADF,year:cut,2,118.485255138693,59.2426275693464,50.6862829535361,1.59804889465524e-09
ADF,FD:loc:year,25,77.6871364214736,3.10748545685894,2.65867490357313,0.00877594469070326
ADF,FD:loc:cut,30,40.2710032938907,1.34236677646302,1.14849028564081,0.364792906996134
ADF,FD:year:cut,10,12.8750491143124,1.28750491143124,1.10155205672609,0.398425124237935
ADF,loc:year:cut,2,23.0371615219579,11.518580760979,9.85496537929096,0.000698554254981299
ADF,FD:loc:year:cut,10,25.3205871092947,2.53205871092947,2.16635638125449,0.0569729755436236
ADF,Residuals,25,29.2202466413122,1.16880986565249,NA,NA
aNDF,FD,5,81.8832403512283,16.3766480702457,11.1513783918617,9.95980208891514e-06
aNDF,loc,2,32.1010199238778,16.0505099619389,10.9293006236802,0.000388493361051958
aNDF,year,3,508.033616792303,169.344538930768,115.312060448034,9.07022713090412e-15
aNDF,cut,4,1351.00705864285,337.751764660713,229.985874648777,2.51906591801972e-19
aNDF,FD:loc,10,45.263878414097,4.5263878414097,3.08216085192607,0.010856080443029
aNDF,FD:year,15,170.67713207041,11.3784754713606,7.7479643550621,4.75032614052882e-06
aNDF,FD:cut,20,122.723784767444,6.13618923837222,4.17832561264364,0.000480571417747508
aNDF,loc:year,5,792.269183368105,158.453836673621,107.896236324464,4.31513494959726e-16
aNDF,loc:cut,6,307.065103518979,51.1775172531631,34.848392515862,5.717638080914e-11
aNDF,year:cut,2,117.932068594616,58.9660342973079,40.1518404679813,1.56208874530978e-08
aNDF,FD:loc:year,25,112.729359976006,4.50917439904025,3.07043967379091,0.00337140678656066
aNDF,FD:loc:cut,30,78.0038708827336,2.60012902942445,1.77051021371441,0.0743074331908121
aNDF,FD:year:cut,10,30.4055860204333,3.04055860204333,2.07041266006193,0.0681548687905351
aNDF,loc:year:cut,2,82.849742887159,41.4248714435795,28.2075070747157,3.89442930692583e-07
aNDF,FD:loc:year:cut,10,34.3798829061441,3.43798829061441,2.34103512336491,0.0411883130980159
aNDF,Residuals,25,36.714403131987,1.46857612527948,NA,NA
Ash,FD,5,1.01574402831648,0.203148805663297,2.16623920561068,0.0903563077299821
Ash,loc,2,167.891013246158,83.9455066230792,895.137172911371,5.46350987630787e-24
Ash,year,3,11.2657770024138,3.75525900080459,40.0435003701083,1.06690690714992e-09
Ash,cut,4,15.3399946761286,3.83499866903215,40.8937893737426,1.27101251680806e-10
Ash,FD:loc,10,4.38825086452253,0.438825086452253,4.67932904441442,0.00083118883363162
Ash,FD:year,15,11.6283339498776,0.775222263325172,8.26643727682342,2.59559016976758e-06
Ash,FD:cut,20,5.83929222760521,0.291964611380261,3.11330989989214,0.0040314201064858
Ash,loc:year,5,14.8771302580761,2.97542605161521,31.7278979089207,4.68338083598929e-10
Ash,loc:cut,6,25.5630277280443,4.26050462134072,45.4310923281062,2.98150672447767e-12
Ash,year:cut,2,15.0312184786724,7.51560923933622,80.1412901992828,1.33757372186597e-11
Ash,FD:loc:year,25,9.36410534159047,0.374564213663619,3.99409527418877,0.000474930789675166
Ash,FD:loc:cut,30,14.1420110586129,0.471400368620429,5.02668945904315,5.0605616054926e-05
Ash,FD:year:cut,10,1.70770231891583,0.170770231891583,1.82097635409141,0.108757660448937
Ash,loc:year:cut,2,1.98884443160266,0.994422215801331,10.603834877422,0.000462726383405716
Ash,FD:loc:year:cut,10,0.974769627943873,0.0974769627943873,1.03942731910043,0.441011558260044
Ash,Residuals,25,2.34448722395396,0.0937794889581585,NA,NA
Ca,FD,5,0.525898392454117,0.105179678490823,12.2976673054614,4.39664160915447e-06
Ca,loc,2,0.920875843314133,0.460437921657067,53.8346613775847,8.70199253108037e-10
Ca,year,3,0.876933419394063,0.292311139798021,34.1771832591208,5.29814230486751e-09
Ca,cut,4,1.1182595658796,0.279564891469899,32.6868847187453,1.34722242927437e-09
Ca,FD:loc,10,0.129769086540226,0.0129769086540226,1.51726747571734,0.191314182150804
Ca,FD:year,15,0.206112348942551,0.0137408232628367,1.60658480244597,0.142811415953267
Ca,FD:cut,20,0.0760155916920831,0.00380077958460416,0.444389291767322,0.965901894048285
Ca,loc:year,5,0.516657564052718,0.103331512810544,12.0815787321974,5.10917369250628e-06
Ca,loc:cut,6,0.409101053643609,0.0681835089406014,7.97205430461195,7.14788092344828e-05
Ca,year:cut,2,0.0908293419861365,0.0454146709930682,5.30990893557892,0.011970269459541
Ca,FD:loc:year,25,0.262566624303447,0.0105026649721379,1.22797750954661,0.305771216066247
Ca,FD:loc:cut,30,0.179313988224591,0.00597713294081971,0.69884975312154,0.826743116959504
Ca,FD:year:cut,10,0.072907587144333,0.0072907587144333,0.85243961914484,0.586021458206622
