,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
FD1 - FD2,-0.833485679240339,0.320119381512056,11.2117268232783,-2.60367140316041,-1.53644372518047,-0.130527633300204,0.0241987342774982
FD1 - FD3,-0.247797590742071,0.309173242452458,9.85537514712089,-0.801484594127433,-0.938051243870239,0.442456062386097,0.441746549857856
FD1 - FD4,-0.597843857141408,0.320119381512056,11.2117268233044,-1.86756532615284,-1.30080190308135,0.105114188798532,0.0881679039978271
FD1 - FD5,-0.531315122327153,0.320119381512057,11.2117268183298,-1.6597405624662,-1.23427316830436,0.171642923650053,0.124649392298913
FD1 - FD6,-0.682027126414053,0.320119381512056,11.2117268249829,-2.13053993542208,-1.38498517234142,0.0209309195133133,0.0560670268576598
FD2 - FD3,0.585688088498268,0.309173242452456,9.85537512600065,1.89436861952352,-0.104565564833669,1.27594174183021,0.0878623926979591
FD2 - FD4,0.235641822098932,0.320119381512053,11.2117268117908,0.736106077007584,-0.467316223927249,0.938599868125112,0.476785224039402
FD2 - FD5,0.302170556913186,0.320119381512053,11.2117268126981,0.94393084069422,-0.400787489106199,1.00512860293257,0.365102170604902
FD2 - FD6,0.151458552826287,0.320119381512053,11.2117268144106,0.473131467738338,-0.55149949318027,0.854416598832843,0.645197210745421
FD3 - FD4,-0.350046266399337,0.309173242452455,9.85537512649844,-1.13220103920593,-1.04029991972647,0.340207386927797,0.284344700936374
FD3 - FD5,-0.283517531585082,0.309173242452456,9.85537512605148,-0.91701833359231,-0.973771184916528,0.406736121746364,0.381025872847456
FD3 - FD6,-0.434229535671982,0.309173242452455,9.85537512724911,-1.40448614578526,-1.12448318899187,0.25602411764791,0.190897318741095
FD4 - FD5,0.0665287348142547,0.320119381512053,11.2117268126765,0.207824763686636,-0.636429311205292,0.769486780833801,0.839092761758208
FD4 - FD6,-0.084183269272645,0.320119381512053,11.2117268132963,-0.262974609269246,-0.787141315287548,0.618774776742258,0.797340122213825
FD5 - FD6,-0.1507120040869,0.320119381512053,11.2117268141596,-0.470799372955883,-0.853670050095336,0.552246041921537,0.646811002280162
locID - locOR,-1.47944925970059,2.53306054542771,2.77176687035939,-0.584056019652218,-9.92962246557035,6.97072394616917,0.603289649443157
locID - locWA,-1.95889124600129,2.53080341826951,2.76115240453745,-0.774019519596162,-10.4218902772084,6.50410778520584,0.499743358000681
locOR - locWA,-0.479441986300706,2.53080341826418,2.76115320134793,-0.189442602629936,-8.94243948086995,7.98355550826853,0.862804356851985
FD1:locID - FD2:locID,-0.893360374645579,0.417832818583882,24.1974222644556,-2.13808091397261,-1.7553527497028,-0.031367999588361,0.0428098065899307
FD1:locID - FD3:locID,-0.152035079584073,0.392705497214951,19.1008966599306,-0.38714782620131,-0.973683368894324,0.669613209726179,0.702926588757996
FD1:locID - FD4:locID,-0.200874242263289,0.417832818583882,24.197422261353,-0.480752667883034,-1.06286661732631,0.661118132799728,0.635010606935529
FD1:locID - FD5:locID,-0.664958231311929,0.417832818583883,24.1974222072823,-1.59144567333318,-1.52695060647601,0.19703414385215,0.124490474942462
FD1:locID - FD6:locID,-0.743844235184519,0.417832818583882,24.1974222578104,-1.7802436814455,-1.60583661025416,0.118148139885119,0.0875980697939478
FD1:locID - FD1:locOR,-1.36584687917282,2.55017920503875,2.84699570655822,-0.535588587842816,-9.7340690735761,7.00237531523046,0.631240234633466
FD1:locID - FD2:locOR,-2.3014452958439,2.5641539805484,2.90992692811832,-0.897545667421925,-10.6065016370773,6.00361104538949,0.437425473276624
FD1:locID - FD3:locOR,-1.70333967737756,2.5601736167001,2.89189872202634,-0.665321939991343,-10.0259923831817,6.6193130284266,0.555053461644079
FD1:locID - FD4:locOR,-2.34676151162337,2.5641539805484,2.90992692990651,-0.915218637190217,-10.6518178498549,5.95829482660812,0.429455338372223
FD1:locID - FD5:locOR,-1.91045655057891,2.5641539805484,2.90992692880334,-0.745063114411843,-10.2155128906624,6.39459978950453,0.511820928023012
FD1:locID - FD6:locOR,-1.90391780659634,2.5641539805484,2.90992693013972,-0.742513055393479,-10.2089741444364,6.40113853124367,0.513151564993275
FD1:locID - FD1:locWA,-1.95379502009124,2.54739990973436,2.83382960711981,-0.7669761675916,-10.3364384080528,6.42884836787036,0.50190553841611
FD1:locID - FD2:locWA,-2.6252932664956,2.56061555886843,2.89310805882064,-1.02525865603025,-10.9473200338046,5.69673350081341,0.38319883430054
FD1:locID - FD3:locWA,-2.20765991452864,2.55720143040844,2.87771525030145,-0.863310918051546,-10.5449953184107,6.12967548935346,0.453908931428876
FD1:locID - FD4:locWA,-2.56553771680162,2.56061555886843,2.89310806100407,-1.00192225573111,-10.8875644803889,5.75648904678564,0.392666036638824
FD1:locID - FD5:locWA,-2.33817248435468,2.56061555886843,2.89310805824045,-0.913129062368092,-10.6601992526526,5.98385428394329,0.430754618519631
FD1:locID - FD6:locWA,-2.71796123672536,2.56061555886843,2.89310805800631,-1.06144837998503,-11.0399880054224,5.60406553197171,0.368953168722421
FD2:locID - FD3:locID,0.741325295061506,0.392705497214938,19.1008967450015,1.88773852242705,-0.0803229940024256,1.56297358412544,0.0743497379810673
FD2:locID - FD4:locID,0.69248613238229,0.41783281858387,24.1974223364744,1.65732824608962,-0.169506242540298,1.55447850730488,0.110363745605338
FD2:locID - FD5:locID,0.22840214333365,0.417832818583871,24.1974223304033,0.54663524063944,-0.633590231600286,1.09039451826759,0.589635095218222
FD2:locID - FD6:locID,0.14951613946106,0.417832818583871,24.1974223487064,0.357837232527123,-0.712476235438667,1.01150851436079,0.723567703720114
FD2:locID - FD1:locOR,-0.47248650452724,2.56415398054818,2.9099271563122,-0.184266041786706,-8.77754246268329,7.83256945362881,0.865894238649843
FD2:locID - FD2:locOR,-1.40808492119832,2.55017920503867,2.84699586213383,-0.552151361918492,-9.77630683898489,6.96013699658825,0.621215868045318
FD2:locID - FD3:locOR,-0.809979302731985,2.56017361669995,2.89189891662593,-0.316376708770261,-9.13263167648993,7.51267307102596,0.773170104277324
FD2:locID - FD4:locOR,-1.4534011369778,2.56415398054825,2.90992712558984,-0.566815077410851,-9.7584571467087,6.85165487275311,0.611606313707288
FD2:locID - FD5:locOR,-1.01709617593334,2.56415398054825,2.90992712453606,-0.396659554632467,-9.32215218743326,7.28795983556659,0.718910002128703
FD2:locID - FD6:locOR,-1.01055743195076,2.56415398054825,2.90992712582916,-0.394109495614103,-9.31561344127991,7.29449857737838,0.720598124717643
FD2:locID - FD1:locWA,-1.06043464544567,2.56061555886819,2.89310820712069,-0.414132704057452,-9.38246115996938,7.26159186907805,0.70755567242565
FD2:locID - FD2:locWA,-1.73193289185002,2.54739990973424,2.83382969061239,-0.679882607058235,-10.1145761295217,6.65071034582161,0.547954162545364
FD2:locID - FD3:locWA,-1.31429953988306,2.55720143040826,2.87771536824458,-0.513960114465144,-9.65163473988896,7.02303566012284,0.644129764872815
FD2:locID - FD4:locWA,-1.67217734215604,2.56061555886825,2.89310817951102,-0.653037249720969,-9.99420390374195,6.64984921942986,0.561891854206958
FD2:locID - FD5:locWA,-1.4448121097091,2.56061555886825,2.89310817697433,-0.564244056357949,-9.76683867561891,6.87721445620072,0.613360771083516
FD2:locID - FD6:locWA,-1.82460086207978,2.56061555886825,2.8931081767459,-0.712563373974899,-10.146627428379,6.49742570421941,0.529273335339102
FD3:locID - FD4:locID,-0.0488391626792163,0.392705497214938,19.1008967446571,-0.124365874747318,-0.870487451744145,0.772809126385713,0.902325075358619
FD3:locID - FD5:locID,-0.512923151727857,0.392705497214939,19.1008967412457,-1.3061267422165,-1.33457144080266,0.308725137346949,0.207020480395336
FD3:locID - FD6:locID,-0.591809155600447,0.392705497214938,19.1008967529479,-1.50700501978594,-1.41345744464137,0.229839133440479,0.148170227411021
FD3:locID - FD1:locOR,-1.21381179958875,2.56017361669988,2.89189895047348,-0.47411308032827,-9.5364641155923,7.10884051641481,0.668907080063438
FD3:locID - FD2:locOR,-2.14941021625983,2.56017361669995,2.8918989181592,-0.839556427829456,-10.4720625874015,6.1732421548819,0.464881743331054
FD3:locID - FD3:locOR,-1.55130459779349,2.54252540622136,2.81296453939988,-0.610143204074804,-9.95579690320572,6.85318770761873,0.587503675551904
FD3:locID - FD4:locOR,-2.1947264320393,2.56017361669995,2.89189891986332,-0.857256874191327,-10.5173788002733,6.12792593619468,0.456463739149734
FD3:locID - FD5:locOR,-1.75842147099484,2.56017361669995,2.89189891881118,-0.686836806505896,-10.0810738410241,6.5642308990344,0.543201673571102
FD3:locID - FD6:locOR,-1.75188272701227,2.56017361669995,2.89189892007506,-0.684282782849094,-10.0745350948849,6.57076964086041,0.544598108170421
FD3:locID - FD1:locWA,-1.80175994050717,2.55659020267584,2.87495863883989,-0.704751171549264,-10.1418730316522,6.53835315063788,0.533769140762219
FD3:locID - FD2:locWA,-2.47325818691153,2.55659020267591,2.87495860932096,-0.967405016385828,-10.8133713292117,5.86685495538867,0.407499729172304
FD3:locID - FD3:locWA,-2.05562483494457,2.54010976687132,2.80153433836625,-0.809266143437769,-10.4732158672323,6.36196619734318,0.481393667349779
FD3:locID - FD4:locWA,-2.41350263721755,2.55659020267591,2.87495861134331,-0.944031872879513,-10.7536157760131,5.92661050157799,0.417532612260255
FD3:locID - FD5:locWA,-2.1861374047706,2.55659020267591,2.87495860881177,-0.855098874462728,-10.5262505479532,6.15397573841198,0.457829789933203
FD3:locID - FD6:locWA,-2.56592615714129,2.55659020267591,2.87495860856932,-1.00365172113059,-10.906039300744,5.77418698646146,0.392390981102398
