trait,term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
ADF,FD,32.0828307686767,6.41656615373533,5,102.896649426143,1.34763971688118,0.250397814194215
ADF,loc,258.921554900537,129.460777450269,2,103.092433561956,27.1900080650978,3.28579791293507e-10
ADF,year,39.0001814527135,19.5000907263568,2,104.350285569509,4.09550780214845,0.0193955020689533
ADF,FD:loc,20.1328110344984,2.01328110344984,10,102.896649422614,0.422839492533856,0.932651779705876
ADF,FD:year,86.6208864070765,8.66208864070765,10,102.896649415792,1.81925572084493,0.0662052607066611
ADF,loc:year,248.264824163676,62.0662060409191,4,103.066248213949,13.0354588938791,1.25969870352609e-08
ADF,FD:loc:year,39.6012286119144,1.98006143059572,20,102.896649424806,0.415862528617736,0.986308816796669
aNDF,FD,35.6767240288242,7.13534480576485,5,102.919322971264,0.922324062841779,0.469722957595312
aNDF,loc,516.371436994975,258.185718497488,2,103.09832002678,33.3734258588224,6.6689698910339e-12
aNDF,year,218.406128522378,109.203064261189,2,104.261216984909,14.1157318456112,3.75677026469241e-06
aNDF,FD:loc,41.1979870108998,4.11979870108998,10,102.91932296883,0.532530603567978,0.863564490943297
aNDF,FD:year,128.094399049963,12.8094399049962,10,102.919322966349,1.65576506497044,0.101448976756277
aNDF,loc:year,622.51992918719,155.629982296798,4,103.07448579018,20.1169363891154,2.87318510848087e-12
aNDF,FD:loc:year,62.3035215336557,3.11517607668279,20,102.919322970395,0.402671760612359,0.988733337576428
Ash,FD,4.0068308094345,0.801366161886899,5,103.048429274959,1.21925019954134,0.305435803415183
Ash,loc,118.636950703212,59.318475351606,2,104.357176332824,90.2509568642619,1.75595197199934e-23
Ash,year,3.96240519245558,1.98120259622779,2,98.8252906495672,3.01432949838413,0.0536130022627433
Ash,FD:loc,4.16038498974115,0.416038498974115,10,103.048429275388,0.632987823814129,0.782558115323308
Ash,FD:year,10.8365401216797,1.08365401216797,10,103.048429285558,1.64874115405443,0.103268846783388
Ash,loc:year,13.3204469388346,3.33011173470864,4,104.126168640048,5.0666469214001,0.000903259312675521
