SOV,DF,ADF,aNDF,Ash,Ca,Cprot,DM,dNDF30,dNDF48,Fat,IVTDMD30,IVTDMD48,K,Lignin,Mg,P,Starch,Su_ESC,Su_WSC
FD,5,0.67 ns,1.05 ns,0.01 ns,0 ns,0.18 ns,0 ns,0.05 ns,0.17 ns,0.04 ns,1.21 ns,0.87 ns,0.01 ns,0.08 ns,0 ns,0 ns,0.03 ns,0.02 ns,0.03 ns
gen,1,4.78 ***,6.46 ***,0.03 ns,0.01 *,2.63 ***,0.01 ns,0.16 ***,0.43 *,0.02 ns,0.81 .,0.76 .,0.01 ns,0.21 ***,0 ***,0 ns,0 ns,0.25 ***,0.12 *
loc,2,0.06 ns,0.09 ns,0.02 ns,0.01 ns,0.03 ns,0.29 *,0 ns,0.04 ns,0.14 ***,0.13 ns,0.11 ns,0.08 .,0.01 ns,0 ns,0 ns,0.05 ns,0.22 .,0.04 ns
FD:loc,10,0.12 ns,0.15 ns,0.01 ns,0 ns,0.17 ns,0 ns,0.01 ns,0.06 ns,0.03 ns,0.56 ns,0.46 ns,0 ns,0.01 ns,0 ns,0 ns,0.11 ns,0.02 ns,0.01 ns
gen:loc,2,0.04 ns,0.08 ns,0.02 ns,0.02 *,0.56 .,0 ns,0.02 ns,0.01 ns,0.01 ns,0.42 ns,0.22 ns,0.02 ns,0.02 ns,0 ***,0 ns,0.02 ns,0.16 ***,0.08 
