trait,variable,cv,max,mean,median,min,sd.amo,se,ci
Mg,ID_2019_4,0.218,0.3764,0.3756,0.3759,0.3744,8e-04,3e-04,8e-04
Mg,OR_2018_1,1.1263,0.3498,0.3453,0.3446,0.3407,0.0039,0.0015,0.0036
Mg,OR_2018_2,0.1732,0.3741,0.3731,0.3731,0.3724,6e-04,2e-04,6e-04
Mg,OR_2018_3,1.1253,0.3954,0.3872,0.3856,0.3834,0.0044,0.0016,0.004
Mg,OR_2019_1,3.4834,0.3127,0.2998,0.2973,0.2869,0.0104,0.0039,0.0097
Mg,OR_2019_2,0.2291,0.3695,0.3679,0.368,0.367,8e-04,3e-04,8e-04
Mg,OR_2019_3,2.1142,0.3329,0.3246,0.3231,0.3162,0.0069,0.0026,0.0063
Mg,OR_2019_4,2.045,0.334,0.326,0.3245,0.3178,0.0067,0.0025,0.0062
Mg,WA_2018_1,3.9892,0.3059,0.2916,0.2887,0.2772,0.0116,0.0044,0.0108
Mg,WA_2018_2,9.5398,0.3263,0.297,0.3064,0.2513,0.0283,0.0107,0.0262
Mg,WA_2018_3,3.2549,0.3779,0.3557,0.3545,0.34,0.0116,0.0044,0.0107
Mg,WA_2019_1,3.5393,0.3119,0.2988,0.2963,0.2858,0.0106,0.004,0.0098
Mg,WA_2019_2,0.7184,0.3578,0.3548,0.3545,0.3519,0.0025,0.001,0.0024
Mg,WA_2019_3,6.6347,0.3498,0.332,0.3371,0.2834,0.022,0.0083,0.0204
Mg,WA_2019_4,6.0641,0.3672,0.3521,0.3622,0.3167,0.0214,0.0081,0.0197
Mg,WA_2019_5,1.9331,0.3358,0.3282,0.3268,0.3205,0.0063,0.0024,0.0059
P,ID_2018_1,1.6626,0.3358,0.3248,0.3227,0.3194,0.0054,0.002,0.005
P,ID_2018_2,0.1975,0.321,0.3196,0.3193,0.3192,6e-04,2e-04,6e-04
P,ID_2018_3,18.8311,0.3548,0.2965,0.2849,0.2349,0.0558,0.0211,0.0516
P,ID_2019_1,3.3405,0.2677,0.2531,0.2511,0.2416,0.0085,0.0032,0.0078
P,ID_2019_2,0.6162,0.3024,0.3007,0.3011,0.2968,0.0019,7e-04,0.0017
P,ID_2019_3,0.2333,0.3253,0.3237,0.3233,0.3231,8e-04,3e-04,7e-04
P,ID_2019_4,0.2785,0.328,0.3262,0.3258,0.3255,9e-04,3e-04,8e-04
P,OR_2018_1,1.7741,0.4063,0.3931,0.3914,0.3867,0.007,0.0026,0.0065
P,OR_2018_2,2.3655,0.3596,0.3481,0.3474,0.3354,0.0082,0.0031,0.0076
P,OR_2018_3,0.4427,0.3356,0.3335,0.3329,0.3323,0.0015,6e-04,0.0014
P,OR_2019_1,0.2,0.3219,0.3205,0.3202,0.3201,6e-04,2e-04,6e-04
P,OR_2019_2,0.3201,0.33,0.3282,0.3277,0.3274,0.0011,4e-04,0.001
P,OR_2019_3,3.4195,0.3333,0.323,0.3294,0.3046,0.011,0.0042,0.0102
P,OR_2019_4,0.3798,0.3328,0.3308,0.3303,0.3298,0.0013,5e-04,0.0012
P,WA_2018_1,3.4015,0.3519,0.3364,0.3331,0.3169,0.0114,0.0043,0.0106
P,WA_2018_2,0.2439,0.326,0.3244,0.3239,0.3238,8e-04,3e-04,7e-04
P,WA_2018_3,0.3889,0.3332,0.3312,0.3307,0.3302,0.0013,5e-04,0.0012
P,WA_2019_1,0.4431,0.3356,0.3335,0.3329,0.3323,0.0015,6e-04,0.0014
P,WA_2019_2,0.2009,0.3221,0.3207,0.3204,0.3203,6e-04,2e-04,6e-04
P,WA_2019_3,0.4121,0.3342,0.3322,0.3316,0.3311,0.0014,5e-04,0.0013
P,WA_2019_4,0.2232,0.3245,0.323,0.3227,0.3225,7e-04,3e-04,7e-04
P,WA_2019_5,0.2187,0.3242,0.3226,0.3224,0.3222,7e-04,3e-04,7e-04
Starch,ID_2018_1,0.3489,3.1045,3.0909,3.0938,3.0759,0.0108,0.0041,0.01
Starch,ID_2019_1,1.7494,3.3261,3.2436,3.2274,3.1818,0.0567,0.0214,0.0525
Starch,ID_2019_2,0.3232,3.1147,3.1015,3.1021,3.0889,0.01,0.0038,0.0093
Starch,ID_2019_3,6.5598,3.0334,2.8082,2.8071,2.4651,0.1842,0.0696,0.1704
Starch,ID_2019_4,3.8948,2.8042,2.6749,2.6608,2.5057,0.1042,0.0394,0.0964
Starch,OR_2018_1,1.0846,3.3373,3.303,3.3097,3.2545,0.0358,0.0135,0.0331
Starch,OR_2019_1,0.378,3.1726,3.1561,3.1561,3.143,0.0119,0.0045,0.011
Starch,OR_2019_2,6.9385,3.9766,3.5593,3.4971,3.2202,0.247,0.0933,0.2284
Starch,OR_2019_3,2.0538,3.1834,3.1284,3.137,3.0039,0.0643,0.0243,0.0594
Starch,OR_2019_4,10.437,5.6562,4.6705,4.5597,4.1706,0.4875,0.1842,0.4508
Starch,WA_2018_1,7.3149,4.2607,3.7688,3.7226,3.5004,0.2757,0.1042,0.255
Starch,WA_2019_1,4.4156,2.6754,2.5224,2.5172,2.3767,0.1114,0.0421,0.103
Starch,WA_2019_2,0.3073,3.1275,3.1147,3.1146,3.1021,0.0096,0.0036,0.0089
Starch,WA_2019_3,0.379,3.1729,3.1564,3.1564,3.1433,0.012,0.0045,0.0111
Starch,WA_2019_4,19.929,4.5703,3.4407,3.1293,2.7329,0.6857,0.2592,0.6342
Starch,WA_2019_5,0.712,3.0406,3.0146,3.014,2.9821,0.0215,0.0081,0.0199
Su_ESC,ID_2018_1,3.4696,6.0691,5.8123,5.8847,5.4888,0.2017,0.0762,0.1865
Su_ESC,ID_2019_1,6.1828,8.2119,7.5545,7.4507,6.8821,0.4671,0.1765,0.432
Su_ESC,ID_2019_2,4.2989,6.8729,6.2767,6.1781,6.0924,0.2698,0.102,0.2495
Su_ESC,ID_2019_3,1.9819,6.961,6.6818,6.6647,6.5743,0.1324,0.0501,0.1225
Su_ESC,ID_2019_4,6.9592,8.7861,7.7295,7.5941,7.1662,0.5379,0.2033,0.4975
Su_ESC,OR_2018_1,0.7653,6.5022,6.445,6.4514,6.3753,0.0493,0.0186,0.0456
Su_ESC,OR_2019_1,0.7673,6.5008,6.4434,6.4497,6.3737,0.0494,0.0187,0.0457
Su_ESC,OR_2019_2,0.7637,6.5467,6.4932,6.5055,6.4117,0.0496,0.0187,0.0459
Su_ESC,OR_2019_3,1.0866,7.1665,7.0544,7.0484,6.9227,0.0767,0.029,0.0709
Su_ESC,OR_2019_4,2.3165,9.006,8.7216,8.7947,8.4531,0.202,0.0764,0.1869
Su_ESC,WA_2018_1,4.8475,5.0986,4.8119,4.7553,4.5228,0.2333,0.0882,0.2157
Su_ESC,WA_2019_1,6.7296,4.5181,4.1564,4.0831,3.7556,0.2797,0.1057,0.2587
Su_ESC,WA_2019_2,0.5305,6.7688,6.7215,6.7197,6.6541,0.0357,0.0135,0.033
Su_ESC,WA_2019_3,0.5251,6.7902,6.7428,6.7444,6.6757,0.0354,0.0134,0.0327
Su_ESC,WA_2019_4,2.1787,7.7169,7.4141,7.4234,7.1821,0.1615,0.0611,0.1494
Su_ESC,WA_2019_5,0.845,7.3189,7.24,7.2641,7.1631,0.0612,0.0231,0.0566
Su_WSC,ID_2018_1,0.4375,7.8159,7.7722,7.7741,7.7045,0.034,0.0129,0.0314
Su_WSC,ID_2019_1,3.4876,7.6462,7.1359,7.1128,6.9011,0.2489,0.0941,0.2302
Su_WSC,ID_2019_2,3.7245,5.4214,5.0216,4.9665,4.8447,0.187,0.0707,0.173
Su_WSC,ID_2019_3,0.8077,6.9404,6.8488,6.843,6.7543,0.0553,0.0209,0.0512
Su_WSC,ID_2019_4,5.3589,8.2229,7.4044,7.3208,7.0053,0.3968,0.15,0.367
Su_WSC,OR_2018_1,2.5016,8.2556,7.9445,8.0086,7.6992,0.1987,0.0751,0.1838
Su_WSC,OR_2019_1,0.7366,7.0854,7.0017,6.9964,6.9116,0.0516,0.0195,0.0477
Su_WSC,OR_2019_2,1.1861,6.2772,6.1493,6.1412,6.0345,0.0729,0.0276,0.0675
Su_WSC,OR_2019_3,1.2467,7.3527,7.2103,7.241,7.0981,0.0899,0.034,0.0831
Su_WSC,OR_2019_4,0.3832,7.9865,7.9522,7.9546,7.8896,0.0305,0.0115,0.0282
Su_WSC,WA_2018_1,0.7874,7.9827,7.8782,7.8803,7.7711,0.062,0.0234,0.0574
Su_WSC,WA_2019_1,0.6075,7.3717,7.3037,7.3003,7.2223,0.0444,0.0168,0.041
Su_WSC,WA_2019_2,0.326,8.1982,8.1754,8.1798,8.1193,0.0267,0.0101,0.0247
Su_WSC,WA_2019_3,0.3227,8.2121,8.1901,8.1946,8.1344,0.0264,0.01,0.0244
Su_WSC,WA_2019_4,4.4652,8.8433,8.0525,7.9587,7.7958,0.3596,0.1359,0.3325
Su_WSC,WA_2019_5,0.2633,9.1403,9.1047,9.1064,9.0754,0.024,0.0091,0.0222
