year,ID,cut,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg
2018,10104,2,94.4650269,20.0516148,31.4378586,36.3994408,8.7107878,1.9150374,5.9403315,13.344059,75.3623886,16.0299969,79.4875107,1.3719372,0.2883177,2.1603193,0.3628329
2018,10115,2,94.5609894,20.4449959,32.9059982,37.9721642,8.7766676,1.8646419,6.4048133,13.6138315,74.5073395,16.0585728,78.0002518,1.4465052,0.2865656,1.9417804,0.3906661
2018,10205,2,94.4707642,18.9943867,34.2799149,39.9975739,7.3175483,1.8451481,6.7749743,14.4810104,73.1959076,16.5994663,77.0383072,1.0702928,0.2859602,1.9966556,0.3091529
2018,10206,2,94.5798264,20.5338898,31.9536934,36.9245033,8.6171436,1.9060804,6.1289515,13.3865576,75.142868,15.9968691,78.9066544,1.4290069,0.2910404,2.357168,0.3435664
2018,10214,2,94.6362228,19.4106483,34.4754829,39.8647537,8.46803,1.8115315,6.6119881,14.546257,73.6991196,17.1733284,77.5812454,1.2625424,0.2881677,2.4020929,0.3312796
2018,10302,2,94.5537338,20.3142624,34.065876,38.5122681,8.6256247,1.8434391,6.4652109,14.5746765,75.0196457,17.4328289,78.8585205,1.181814,0.3122894,2.5759416,0.3249871
2018,10312,2,94.6043625,21.837429,30.927599,34.9335861,8.8018379,1.889056,5.8730826,13.1137714,77.0200958,15.7408199,80.6302795,1.4028788,0.3020271,2.2207589,0.3745938
2018,10407,2,94.8942947,20.0898399,33.6845131,38.3378029,8.55509,1.8162948,6.4459577,13.6167727,73.9828186,16.3577137,77.6003113,1.1384523,0.3037708,2.4228578,0.3060649
2018,10413,2,94.5725098,19.1080036,32.7186432,38.0624886,8.120883,2.0259321,6.3059492,14.1005564,74.7036972,16.9840183,78.4323959,1.1478392,0.2958775,2.3310478,0.3017487
2018,10419,2,94.4912338,20.4661427,34.7077637,39.8686867,8.4718266,1.7566357,6.7313328,14.297492,73.2704773,16.8308849,77.0479736,1.3150995,0.3003902,2.2682629,0.332533
2018,10508,2,94.7224121,19.9268837,35.7989578,41.1545067,8.2599173,1.8029552,6.9292989,14.7338095,72.5589676,17.6238194,76.5996475,1.1674737,0.3059108,2.2620263,0.3195292
2018,10514,2,94.4036636,19.8243294,32.3230629,36.908329,7.6171823,2.0294831,6.2221398,13.2600775,75.0686264,15.8676739,79.0806656,1.0531124,0.3035765,2.4757361,0.3025185
2018,10604,2,94.7040253,20.3738766,32.7919807,37.7085457,8.3762941,1.9008297,6.3409686,13.6691008,74.6365204,16.2203236,78.212532,1.2078196,0.2948822,2.2945321,0.3200968
2018,10613,2,94.6927109,20.4751968,34.0706177,39.3142433,8.9166079,1.840396,6.4448061,14.9744291,74.6763611,17.4693794,78.0071259,1.1226989,0.3133048,2.6264532,0.3155142
2018,10702,2,94.8620758,18.2228451,34.1687431,39.4448967,8.522604,1.6343548,6.5428615,14.0814667,72.1271133,16.2434387,75.8907547,1.0602322,0.2817118,2.2818432,0.2891062
2018,10715,2,94.724823,20.1357803,32.5946884,37.959568,8.7352018,1.8739127,6.3737535,14.0423975,75.0891418,16.963789,78.5238724,1.1718789,0.2997726,2.271569,0.3122459
2018,10802,2,94.9035721,19.0260029,33.9295235,39.3549728,8.4680872,2.0131619,6.6435375,13.677495,73.948761,17.0616817,77.1448364,1.1433849,0.2961208,2.2702196,0.2936926
2018,10805,2,94.4978714,20.147541,31.5367279,36.1515427,8.3991671,1.8901496,5.9838257,13.7441282,75.965538,15.9888411,79.3374023,1.1853468,0.2998079,2.3262315,0.3257687
2018,10816,2,94.6955414,18.9342766,32.9705963,38.6327667,8.0533409,1.9130399,6.3338451,12.980732,72.3230286,15.9260406,76.8994217,1.1487269,0.2750566,1.877968,0.3297114
2018,10817,2,94.5188675,22.2386456,30.2752724,33.8597183,8.2338438,1.8172959,5.7779422,12.8967705,77.4334946,14.8591957,80.4688797,1.1705824,0.3065785,2.1492543,0.3702686
2018,10907,2,94.6504135,17.5699482,34.2959366,40.1598244,7.9031749,1.6729348,6.8368173,13.82444,71.6741486,16.0445728,75.5858841,1.0772738,0.2561772,1.8826287,0.2978003
2018,10910,2,94.5644608,19.252512,32.9999542,37.7807121,7.8866305,1.8555219,6.2822533,13.5140238,73.7496033,15.7326241,77.6757812,1.027869,0.2945266,2.4150393,0.3007986
2018,11016,2,94.4290543,19.0704689,29.4950504,33.7847786,7.8997993,1.9219488,5.4464765,12.4573288,76.0420151,14.383337,79.8321915,1.140937,0.2739488,2.0786629,0.3219061
2018,11019,2,94.8888092,17.5994186,35.6198349,41.7823524,8.6160135,1.5487792,7.1354718,14.7496433,70.6850739,16.8331604,74.3681107,1.0062605,0.2699105,1.8806188,0.2791775
2018,11102,2,94.7082291,21.0392818,29.3959732,34.4560356,8.7067595,1.990785,5.7766619,12.2860165,76.5395355,15.0748177,79.8522415,1.3440623,0.2860841,2.145972,0.3461452
2018,11117,2,94.5453796,20.3366184,33.602623,39.4053116,8.2888575,1.90069,6.6020503,14.3648663,74.3214035,17.0918465,77.8474121,1.3342952,0.2939993,1.9622922,0.3581962
2018,11120,2,94.4707642,18.2460327,34.0116806,39.5613785,7.6212082,1.7199088,6.7056198,13.6445246,71.5928421,16.0696049,75.7218246,0.9623833,0.2806969,2.0436802,0.269337
2018,10104,3,93.3312912,21.8888283,28.3838272,32.6252174,8.6166954,2.1205096,5.3408031,12.8972788,79.6529388,14.7956161,83.0105896,1.5352156,0.2977943,2.1017458,0.3707983
2018,10115,3,93.123848,22.0300217,29.9552746,33.9392395,8.5875826,2.1306927,5.7313209,13.1486988,78.7949371,15.057476,82.4295349,1.5146222,0.3000194,2.1173539,0.3835757
