cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,5,4,119,OR,2021,94.49,18,31.95,37.52,7.58,1.72,6.89,15.17,78.73,40.43,17.74,80.16,47.29,1.31,0.28,2.12,0.29,8.24,10.59,2.2
1,9,10,120,OR,2021,93.32,21.12,29.37,34.14,9.67,2.11,6.44,14.47,81.24,42.38,15.98,81.26,46.82,1.5,0.33,2.38,0.34,7.38,10.08,2.92
1,2,2,121,OR,2021,94.41,18.45,32.9,38.24,8.91,1.84,7.15,15.3,78.88,40.01,17.81,78.97,46.57,1.26,0.3,2.46,0.28,6.81,9.29,2.64
1,5,14,122,OR,2021,94.32,20.79,31.57,36.42,9.21,1.8,7.08,15.62,79.91,42.89,17.66,79.56,48.48,1.49,0.33,2.34,0.33,6.24,9.4,1.82
1,1,16,123,OR,2021,94.45,18.41,34.13,39.08,8.92,1.57,7.19,14.59,77.23,37.34,16.72,77.61,42.79,1.15,0.31,2.48,0.26,7.17,9.5,2.49
1,11,19,124,OR,2021,93.53,21.5,26.91,31.54,7.72,2.22,6.26,12.97,83.14,41.13,15.09,83.46,47.84,1.42,0.32,2.18,0.34,8.14,10.59,3.18
1,10,9,125,OR,2021,93.78,21.21,30.82,35.3,8.15,2.07,6.81,15.01,81.03,42.53,16.01,81.19,45.36,1.41,0.32,1.99,0.35,7.44,9.73,1.5
1,4,17,126,OR,2021,93.65,21.77,30.92,36.5,7.61,2.11,6.89,15.78,80.76,43.22,17.27,79.7,47.32,1.28,0.34,2.21,0.34,6.3,8.8,1.91
1,10,14,127,OR,2021,94.16,19.51,30.22,35.12,7.49,1.88,6.54,14.19,80.73,40.4,16.64,81.72,47.38,1.29,0.3,1.98,0.32,8.64,10.94,2.8
1,9,17,128,OR,2021,94.21,21.66,29.38,33.8,8.62,1.91,6.52,15.34,81.88,45.38,16.13,82.35,47.73,1.4,0.32,2.15,0.35,7.47,9.97,1.41
1,6,13,129,OR,2021,93.32,22.72,27.55,31.36,8.02,2.03,5.94,14.85,84.19,47.35,15.51,83.97,49.46,1.38,0.33,2.32,0.36,7.66,10.04,2.07
1,11,16,130,OR,2021,93.73,19.3,28.61,33.47,6.92,2.14,6.4,12.78,80.95,38.19,14.9,81.56,44.51,1.34,0.29,1.57,0.35,9.07,10.96,4.04
1,4,15,131,OR,2021,93.71,18.91,33.18,38.08,6.56,1.8,7.17,13.86,78.2,36.39,15.99,78.54,41.98,1.28,0.31,1.84,0.31,8.77,11.03,2.58
1,7,17,132,OR,2021,93.6,21.49,31.79,36.31,8.74,1.99,6.85,15.48,80.83,42.62,16.68,80.27,45.94,1.32,0.34,2.27,0.32,6.81,9.21,2.08
1,3,7,133,OR,2021,93.81,18.66,33.32,39.14,7.2,1.75,7.43,14.49,77.53,37.01,16.81,78.2,42.94,1.29,0.29,2.14,0.31,7.35,9.57,1.67
1,5,11,134,OR,2021,93.45,19.19,29.61,33.99,8.41,1.99,6.55,14.44,81.15,42.48,15.41,82.05,45.34,1.61,0.28,1.89,0.38,8.55,10.74,2.5
1,8,13,135,OR,2021,93.82,19.48,33.16,37.62,8.28,1.93,7.16,16.08,79.05,42.75,16.86,78.99,44.83,1.44,0.3,2.31,0.3,6.72,9.23,1.32
1,11,6,136,OR,2021,94.1,17.61,34.64,40.26,7.34,1.87,7.85,14.3,74.76,35.53,16.01,76.55,39.77,1.45,0.27,1.53,0.31,7.6,9.5,1.85
1,5,15,137,OR,2021,93.7,21.11,29.98,34.22,7.7,1.89,6.67,15.08,81.68,44.06,15.96,81.84,46.64,1.49,0.31,1.87,0.37,7.94,10.45,1.72
1,7,3,138,OR,2021,93.65,20.36,30.63,35.47,7.97,1.91,6.87,14.41,80.13,40.62,16.01,80.51,45.14,1.35,0.31,2.02,0.33,7.46,9.84,2.21
1,3,1,139,OR,2021,94.02,19.64,37.43,43.08,6.7,1.67,7.79,17.28,76.3,40.1,19.55,76.42,45.38,1.28,0.34,2.01,0.31,6.1,8.55,1.11
1,6,6,140,OR,2021,93.87,17.99,34.59,39.48,8.91,1.92,7.16,15.8,78.67,40.01,18.32,79.19,46.41,1.33,0.31,2.43,0.27,6.79,9.27,2.9
1,8,12,141,OR,2021,93.41,17.97,35.65,40.42,7.57,1.78,7.55,16.12,77.14,39.89,18.27,77.22,45.2,1.37,0.31,2.41,0.27,6.93,9.36,2.13
1,7,9,142,OR,2021,93.49,20.57,34.99,39.74,8.33,1.91,7.54,17.2,78.62,43.27,18.66,78.18,46.94,1.23,0.35,2.45,0.31,5.29,7.86,1.53
1,7,15,143,OR,2021,93.21,19.93,31.18,35.42,8.58,2.04,6.71,15.51,81.47,43.79,16.43,81.28,46.38,1.47,0.31,2.19,0.34,7.72,10.11,2.53
1,3,11,144,OR,2021,93.97,19.84,33.1,37.48,7.77,1.87,7.36,15.24,78.92,40.67,16.95,79.19,45.21,1.38,0.32,2.6,0.29,7.23,9.69,1.06
1,1,7,145,OR,2021,94,20.71,31.59,36.04,8.49,1.94,7.05,14.06,78.97,39.01,15.89,79.73,44.09,1.32,0.31,2.36,0.3,6.83,9.11,1.94
1,6,11,146,OR,2021,93.4,21.9,31.76,36.15,9.14,2.01,6.77,16.79,81.15,46.45,17.8,81.33,49.23,1.49,0.35,2.52,0.36,6.11,8.78,1.54
1,10,8,147,OR,2021,94.05,19.42,30.05,34.98,7.78,1.96,6.66,13.71,79.42,39.2,15.81,80.24,45.19,1.48,0.29,2.02,0.33,8.24,10.5,2.37
1,10,1,148,OR,2021,93.3,20.76,32,36.98,7.38,1.94,7.09,15.66,80.21,42.34,16.86,79.89,45.59,1.34,0.32,2.09,0.32,6.94,9.48,1.24
1,7,1,149,OR,2021,93.56,20.68,30.62,35.47,7.85,2.02,6.86,14.04,79.96,39.58,16.09,80.57,45.37,1.32,0.32,2.05,0.33,7.52,9.77,2.56
1,6,15,150,OR,2021,93.63,21.7,30.22,35.13,8.6,2.13,6.49,15.09,81.8,42.95,17.08,81.91,48.62,1.28,0.35,2.49,0.33,7,9.35,2.11
1,7,8,151,OR,2021,94.42,19.52,29.81,34.13,7.63,1.91,6.53,13.4,80.22,39.26,15.9,80.72,46.58,1.47,0.3,2.13,0.32,8.54,10.72,2.62
1,7,6,152,OR,2021,94.32,21.23,31.03,35.34,8.47,1.97,6.68,14.83,80.87,41.97,16.76,81.17,47.41,1.23,0.33,2.53,0.3,6.93,9.28,1.93
1,2,7,153,OR,2021,93.94,19.74,32.19,37.78,7.8,1.79,7.1,14.86,79.1,39.35,16.87,79.67,44.64,1.42,0.31,2,0.32,7.72,10.15,1.3
1,5,3,154,OR,2021,93.44,22.69,30.12,35.42,7.61,1.97,6.81,15.27,80.94,43.11,16.79,80.52,47.4,1.46,0.33,2,0.37,6.68,9.29,1.46
1,6,16,155,OR,2021,94.24,20.28,33.15,37.61,7.63,1.79,7.13,16.11,79.21,42.84,17.35,79.52,46.13,1.54,0.31,2.29,0.35,7.08,9.5,0.74
1,6,4,156,OR,2021,94.5,19.71,30.19,34.33,8.58,1.98,6.42,14.57,81.66,42.43,16.56,82,48.22,1.35,0.32,2.41,0.28,7.9,10.38,2.24
1,10,2,157,OR,2021,93.89,19.79,34.63,40.19,7.91,1.85,7.56,15.32,76.66,38.13,17.28,77.75,42.99,1.34,0.31,2.11,0.3,6.61,8.75,1.44
1,8,11,158,OR,2021,93.87,23.28,30.9,34.88,9.17,2.06,6.78,16.41,82.46,47.04,17.43,81.82,49.97,1.38,0.36,2.58,0.33,5.41,8.31,1.37
1,1,10,159,OR,2021,94.53,20.02,32.97,38.24,8.7,1.74,7.29,14.5,77.33,37.9,17.37,78.72,45.42,1.25,0.32,2.55,0.27,6.32,8.9,1.5
1,1,18,160,OR,2021,94.37,17.98,35.2,40.61,8.13,1.63,7.63,14.68,75.98,36.15,17.27,76.86,42.54,1.27,0.3,2.26,0.27,7.38,9.61,1.69
1,3,16,161,OR,2021,94.03,16.33,37.2,43.35,6.64,1.74,8.16,14.09,73.27,32.51,16.76,73.13,38.67,1.26,0.29,2.01,0.26,7.57,9.54,2.02
1,8,14,162,OR,2021,93.21,21.52,31.69,36.15,8.44,2.15,6.68,15.84,81.43,43.83,17.52,81.29,48.46,1.36,0.35,2.6,0.32,6.46,8.93,2.07
1,11,15,163,OR,2021,93.95,21.92,29.42,33.34,8.55,2.08,6.54,15.12,81.86,45.36,15.64,82.17,46.91,1.6,0.32,2.07,0.38,7.48,9.81,1.61
1,9,4,164,OR,2021,93.51,20.12,31.48,35.76,8.02,1.95,6.89,14.07,80.73,39.34,15.67,80.56,43.82,1.32,0.32,2.17,0.29,7.94,10.26,2.8
1,7,2,165,OR,2021,94,21.04,30.38,34.53,9.61,2.19,6.61,15.81,81.21,45.8,17.33,81.85,50.19,1.56,0.32,2.55,0.34,6.18,8.86,1.94
1,7,12,166,OR,2021,94.06,20.56,29.03,32.93,9.8,2.07,5.95,14.04,81.85,42.65,15.58,82.61,47.32,1.59,0.32,2.29,0.34,8.17,10.51,2.94
1,1,15,167,OR,2021,94.05,20.92,33.72,38.24,7.98,1.77,7.36,16.06,79.07,41.99,17.97,78.59,46.99,1.35,0.34,2.61,0.29,5.64,8.41,1.19
1,7,16,168,OR,2021,93.87,19.16,33.25,37.56,8.01,1.88,7.05,14.76,78.06,39.29,16.99,78.83,45.23,1.3,0.32,2.43,0.26,6.66,8.88,2.9
1,8,5,169,OR,2021,94.11,20.39,32.03,36.74,8.68,1.84,7.05,14.71,79.5,40.05,16.12,79.85,43.88,1.36,0.32,2.17,0.3,6.95,9.45,1.66
1,9,9,170,OR,2021,94.39,20.52,31.11,35.73,8.84,1.9,6.84,14.92,79.6,41.76,16.58,80.49,46.41,1.48,0.3,1.99,0.34,7.1,9.65,2
1,5,2,171,OR,2021,94.07,19.99,29.06,33.38,8.54,1.88,6.54,13.53,81.29,40.53,15.49,82.14,46.41,1.45,0.3,2.23,0.32,8.4,10.93,2.35
1,10,11,172,OR,2021,93.62,21.23,28.46,32.89,8.53,2.1,6.27,15.07,83.13,45.83,16.52,83.53,50.24,1.61,0.32,2.01,0.38,7.85,10.65,2.61
1,2,3,173,OR,2021,93.88,20.66,32.66,37.23,9.01,1.8,7.2,16.2,79.82,43.51,17.72,80,47.6,1.52,0.32,2.39,0.34,6.18,9.1,1.31
1,7,18,174,OR,2021,93.8,20.26,31.07,35.93,8.94,2.17,6.63,14.94,80.77,41.58,17.12,81.28,47.64,1.26,0.34,2.49,0.28,7.05,9.47,2.93
1,10,20,175,OR,2021,94.09,21.81,28.84,33.05,9.47,2.2,6.32,14.65,82.2,44.32,16.17,82.87,48.91,1.45,0.32,2.3,0.33,7.08,9.62,2.47
1,1,11,176,OR,2021,93.86,22.36,31.93,36.86,8.71,1.93,6.95,16.21,80.01,43.97,17.83,80.31,48.38,1.39,0.35,2.5,0.32,5.91,8.63,1.24
1,3,18,177,OR,2021,93.79,18.63,32.56,37.38,9.4,1.82,6.94,14.48,78.74,38.75,16.43,79.25,43.95,1.46,0.3,2.24,0.3,7.74,10.21,2.6
1,2,1,178,OR,2021,93.9,19.04,35.78,41.93,6.96,1.6,7.75,15.38,76.11,36.68,18.57,76.22,44.29,1.25,0.33,2.09,0.3,6.73,9.07,1.24
1,2,11,179,OR,2021,94,20.06,30.14,33.91,7.66,1.98,6.22,14.29,82.13,42.14,16.22,81.57,47.82,1.26,0.33,2.21,0.31,8.77,10.92,2.8
1,11,5,180,OR,2021,93.94,22.97,30.3,35.18,8.4,2.17,6.63,16.65,82.1,47.33,18.22,81.58,51.78,1.4,0.36,2.37,0.35,5.51,8.22,1.5
1,2,5,181,OR,2021,94.11,18.27,35.08,40.13,8.11,1.78,7.49,15.57,77.44,38.8,17.9,78.28,44.6,1.18,0.31,2.51,0.25,7.01,9.28,1.73
1,4,20,182,OR,2021,94.49,18.72,34.78,39.85,8.21,1.73,7.52,15.92,77.32,39.96,17.84,77.91,44.77,1.29,0.31,2.2,0.28,6.9,9.29,1.72
1,3,3,183,OR,2021,93.78,19.58,34.67,39.6,8.59,1.9,7.61,16.12,77.86,40.7,17.96,78.29,45.36,1.36,0.32,2.31,0.3,5.84,8.39,1.1
1,8,20,184,OR,2021,93.12,20.34,34.06,38.9,8.79,2.01,7.15,16.22,79.23,41.68,17.91,79.46,46.05,1.32,0.33,2.68,0.28,6.12,8.55,1.97
1,6,10,185,OR,2021,94.39,20.23,28.94,33.3,8.99,2.05,6.43,13.9,81.67,41.74,16.01,82.36,48.08,1.43,0.31,2.22,0.3,8,10.43,2.68
1,7,13,186,OR,2021,93.65,22.07,31.8,35.19,7.23,1.85,6.62,16.79,82.69,47.69,17.17,81.32,48.78,1.27,0.36,2.67,0.32,7.37,9.74,0.79
1,3,8,187,OR,2021,94.45,17.91,33.6,38.32,8.62,1.84,7.12,14.92,78.41,38.93,17.12,79.18,44.68,1.37,0.29,2.19,0.28,7.77,10.07,2.37
1,6,5,188,OR,2021,93.55,21.16,30.37,34.9,8.45,2.11,6.45,15.13,81.81,43.37,16.39,82.09,46.96,1.38,0.33,2.21,0.34,7.73,10.07,1.99
1,3,5,189,OR,2021,93.84,20.74,32.71,38.2,8.07,1.96,7.18,16.53,79.32,43.27,18.15,78.82,47.52,1.47,0.32,2.2,0.34,5.95,8.59,1.43
1,1,13,190,OR,2021,94.11,18.82,32.32,36.51,7.98,1.92,7.13,15.09,79.61,41.33,16.72,79.76,45.79,1.34,0.3,2.52,0.28,7.2,9.48,2.43
1,4,9,191,OR,2021,93.31,19.83,32.34,37.09,7.46,1.9,6.83,14.49,79.46,39.05,15.43,80.04,41.59,1.4,0.31,1.9,0.32,8.41,10.37,2.31
1,1,6,192,OR,2021,94.15,18.03,33.08,37.97,9.09,1.76,6.95,14.78,78.38,38.93,17.35,79.04,45.68,1.37,0.31,2.51,0.27,7.36,10.05,2.73
1,2,16,193,OR,2021,94.48,18.84,34.61,39.25,8.78,1.76,7.55,15.98,77.13,40.71,17.37,77.66,44.26,1.38,0.3,2.5,0.29,6.52,8.95,0.99
1,9,18,194,OR,2021,93.36,21.33,31.51,36.18,8.87,2.22,6.86,14.82,79.84,40.97,16.68,80.43,46.09,1.36,0.33,2.33,0.32,6.4,8.72,2.21
1,3,13,195,OR,2021,93.66,19.31,33.06,37.9,7.82,2,7.71,14.01,77.17,36.98,16.05,77.72,42.36,1.46,0.3,2.42,0.29,6.78,9.25,1.7
1,9,5,196,OR,2021,93.18,19.95,32.78,38.18,7.77,1.86,7.2,14.99,78.6,39.28,16.62,78.84,43.54,1.51,0.31,1.91,0.34,7.11,9.57,1.5
1,4,2,197,OR,2021,94.25,18.65,34.21,39.87,8.76,1.78,7.22,16.6,78.09,41.63,18.6,78.79,46.66,1.4,0.3,2.26,0.3,6.39,9.04,2.21
1,11,11,198,OR,2021,93.57,22.25,29.35,34.36,8.47,2.13,6.44,14.5,81.94,42.19,16.24,82.67,47.26,1.5,0.33,2.18,0.37,7.23,9.66,2.35
1,1,3,201,OR,2021,94.02,19.65,34.83,39.59,8.13,1.83,7.44,17.04,78.99,43.03,18.85,79.16,47.61,1.3,0.33,2.52,0.29,6.25,8.78,0.97
1,2,10,201,OR,2021,94.61,18.75,36.52,41.6,7.31,1.67,7.71,17.02,77.31,40.9,18.87,76.81,45.35,1.23,0.32,2.54,0.27,6.3,8.61,0.92
1,3,20,201,OR,2021,93.74,18.88,31.99,36.63,8.41,1.94,6.97,15.25,79.58,41.65,17.43,80.07,47.59,1.39,0.31,2.54,0.29,7.38,9.8,2.48
1,4,6,201,OR,2021,94.35,18.39,36.37,41.82,8.18,1.63,7.77,16.58,76.27,39.65,18.62,77.05,44.53,1.24,0.31,2.37,0.27,6.38,8.69,1.57
1,5,5,201,OR,2021,93.66,20.43,35.14,40.62,7.98,1.79,7.59,16.89,78.06,41.57,19.02,78.18,46.83,1.37,0.35,2.11,0.36,5.82,8.46,1.49
1,6,1,201,OR,2021,93.69,20.38,33.24,38.58,7.3,1.92,7.28,17.03,79.37,44.15,18.43,79.3,47.76,1.34,0.32,2.16,0.34,6.04,8.55,1.51
1,7,4,201,OR,2021,94.17,16.77,33.91,38.97,8.03,1.77,7.21,14.56,77.57,37.37,16.86,78.21,43.27,1.37,0.27,2,0.28,8.55,10.66,3.01
1,8,7,201,OR,2021,94.52,21.14,31.3,35.73,7.46,1.72,6.85,15.32,80.15,42.88,17.75,80.24,49.67,1.31,0.33,2.27,0.31,6.88,9.49,2.13
1,9,16,201,OR,2021,93.72,20.4,31.68,36.63,9.15,1.95,6.99,15.35,79.5,41.91,17.27,80.45,47.14,1.39,0.32,2.44,0.31,6.65,9.19,1.97
1,10,17,201,OR,2021,93.89,19.99,32.54,37.89,7.65,1.79,7.08,15.41,78.63,40.67,17.18,79.72,45.33,1.34,0.3,1.92,0.33,7.52,9.72,1.99
1,11,3,201,OR,2021,93.71,19.98,32.61,37.28,8.37,1.83,7.25,15.48,78.79,41.53,16.56,78.55,44.43,1.43,0.31,2.32,0.29,6.5,9.05,1.64
1,1,20,202,OR,2021,94.53,16.86,34.69,39.97,7.52,1.61,7.52,14.45,76.37,36.15,17.24,76.87,43.13,1.35,0.27,2.34,0.26,7.45,9.8,2.43
1,2,17,202,OR,2021,93.93,20.39,32.29,36.79,7.5,1.92,6.87,15.6,80.85,42.41,17.51,80.66,47.58,1.27,0.35,2.27,0.32,7.62,10.14,1.84
1,3,9,202,OR,2021,93.98,19.32,33.83,39.56,7.3,1.93,7.33,15,77.42,37.91,17.67,77.51,44.67,1.35,0.32,1.95,0.31,7.19,9.44,2.26
1,4,13,202,OR,2021,93.82,21.01,32.19,37.1,8.43,1.99,7.02,15.47,80.07,41.71,16.8,79.95,45.3,1.42,0.33,2.09,0.33,7.08,9.58,1.85
1,5,8,202,OR,2021,94.13,20.36,28.21,32.42,9.02,2.08,6.12,14.9,81.92,45.96,16.41,82.93,50.62,1.73,0.28,2.26,0.37,7.79,10.41,2.53
1,6,12,202,OR,2021,94.16,18.9,30.1,34.31,8.41,1.98,6.82,14.79,80.3,43.1,16.24,81.57,47.33,1.7,0.28,2.14,0.34,8.07,10.6,1.75
1,7,19,202,OR,2021,93.31,22.49,31.09,35.47,9.26,2.02,6.62,16.76,82.61,47.23,17.88,82.67,50.4,1.47,0.35,2.63,0.35,6.2,9.11,1.1
1,8,18,202,OR,2021,93.15,20.81,30.69,34.54,8.78,2.16,6.79,13.95,80.68,40.38,15.72,81.16,45.52,1.37,0.33,2.47,0.31,7.44,9.6,2.71
1,9,7,202,OR,2021,93.21,22.32,31.4,35.69,8.58,2.07,6.77,16.66,83,46.67,16.83,81.13,47.16,1.48,0.36,2.2,0.36,6.65,9.44,1.24
1,10,10,202,OR,2021,93.92,21.85,29.73,33.25,7.59,1.99,6.41,15.05,82.9,45.27,16.24,82.54,48.84,1.31,0.34,2.4,0.33,7.58,9.89,1.34
1,11,18,202,OR,2021,93.65,21.75,29.94,34.09,8.52,2.13,6.7,15.23,81.46,44.67,16.29,81.09,47.79,1.68,0.32,2.13,0.38,6.7,9.33,2.03
1,10,6,1,WA,2020,95.51,19.43,29.01,33.71,8.92,2.07,6.49,13.64,79.73,40.46,15.72,80.49,46.63,1.62,0.27,1.59,0.35,8.03,10.54,3.69
1,11,5,2,WA,2020,94.87,19.9,32.09,38.04,9.06,1.8,7.04,15.36,77.56,40.36,17.09,79.06,44.91,1.41,0.29,1.94,0.31,7.07,9.53,1.54
1,2,12,3,WA,2020,95.28,19.83,32.63,38.8,8.12,1.85,7.05,15.86,77.41,40.87,17.34,76.85,44.7,1.41,0.31,1.97,0.3,7.2,9.64,1.47
1,9,9,4,WA,2020,94.18,18.76,31.54,36.86,7.84,2.05,6.83,15.28,77.89,41.46,16.39,78.86,44.45,1.63,0.27,1.61,0.36,8.08,10.47,1.72
1,6,6,5,WA,2020,95.07,18.86,33.07,39.27,8.94,2,7.35,14.35,75.73,36.54,17.87,77.11,45.5,1.22,0.31,2.02,0.26,6,8.54,2.77
1,2,17,6,WA,2020,95.08,17.96,35.49,41.91,7.83,1.66,7.97,15.14,73.22,36.12,18.11,74.64,43.22,1.24,0.29,1.96,0.26,6,8.39,1.55
1,9,12,7,WA,2020,94.55,18.87,33.5,39.84,8.58,1.95,7.35,14.45,76.14,36.28,17.23,77.27,43.24,1.27,0.3,1.84,0.29,6.79,8.98,2.67
1,7,13,8,WA,2020,94.96,18.45,30.89,36.08,9.23,1.98,6.95,14.46,78.13,40.09,16.07,79.78,44.55,1.52,0.27,1.8,0.32,8.01,10.28,1.97
1,11,9,9,WA,2020,95.18,22.43,30.49,36.08,8.34,2,6.67,16.52,80.29,45.78,16.86,79.44,46.72,1.51,0.33,1.74,0.37,7.13,9.48,0.32
1,8,9,10,WA,2020,95.54,22.22,30.06,34.94,9.72,2.07,6.73,15.83,79.36,45.29,17.28,80.8,49.47,1.61,0.31,2.07,0.34,6.08,8.79,1.65
1,7,6,11,WA,2020,94.81,19.54,27.35,32.75,8.58,2.04,5.97,12.33,80.97,37.65,16.23,81.83,49.57,1.28,0.3,1.84,0.31,7.74,10.18,5.29
1,3,14,12,WA,2020,94.59,19.94,32.2,38.48,8.64,1.85,7.21,14.35,76.62,37.3,16.16,78.23,42,1.23,0.29,1.89,0.29,7.19,9.11,1.8
1,1,18,13,WA,2020,95.22,19.3,33.85,39.51,7.52,1.7,7.6,15.55,76.36,39.36,17.32,76.74,43.83,1.55,0.26,1.57,0.32,7.02,9.37,1.13
1,5,7,14,WA,2020,94.61,19.11,34.29,40.32,9.12,1.77,7.41,15.37,75.92,38.13,17.35,77.11,43.02,1.24,0.29,2.11,0.26,6.16,8.66,1.85
1,10,14,15,WA,2020,94.94,18.01,32.37,39.02,8.33,2.08,7.04,14.31,76.69,36.68,17.51,77.69,44.88,1.31,0.29,1.92,0.31,6.86,9.1,3.72
1,9,6,16,WA,2020,95.37,17.39,33.15,39.22,7.98,1.98,7.3,14.63,76.32,37.31,17.33,77.74,44.19,1.34,0.26,1.62,0.31,7.75,9.9,2.25
1,5,10,17,WA,2020,93.99,18.88,32.59,38.27,9.07,2.12,6.73,14.25,78.42,37.23,16.4,77.76,42.86,1.25,0.31,2.26,0.25,6.44,8.77,4.04
1,7,17,18,WA,2020,95.51,19.05,34.55,40.31,9.23,1.92,7.8,14.87,73.82,36.89,17,75.57,42.17,1.36,0.29,2.09,0.28,6.13,8.45,0.96
1,6,3,19,WA,2020,95.4,20.01,31.13,36.81,9.86,1.98,6.88,15.28,78.55,41.51,17.79,79.5,48.33,1.41,0.31,2.16,0.28,6.37,9.23,2.14
1,9,18,20,WA,2020,95.2,21.79,26.37,31.19,8.68,2.15,6.08,14.45,81.74,46.34,15.36,82.3,49.27,1.63,0.28,1.81,0.38,8.09,10.51,2.18
1,10,10,21,WA,2020,95.27,19.94,27.16,32.35,8.56,2.06,5.95,13.43,81.52,41.51,15.86,82.48,49.04,1.55,0.28,1.6,0.36,8.76,11.2,4.07
1,4,4,22,WA,2020,94.86,20.9,30.66,36.04,8.71,1.92,6.85,15.11,79.01,41.92,17.25,79.84,47.85,1.63,0.28,1.84,0.35,6.68,9.22,2.34
1,5,12,23,WA,2020,95.24,19.14,31.16,36.33,8.54,1.95,6.7,15.02,78.04,41.33,17.26,79.3,47.5,1.34,0.29,1.99,0.31,7.39,9.7,2.74
1,2,4,24,WA,2020,95.42,22.8,30.15,34.61,10.12,1.82,6.93,16.56,80.47,47.85,17.47,80.77,50.48,1.71,0.32,2.01,0.38,5.57,8.68,0.88
1,6,16,25,WA,2020,94.98,20.86,31.65,37.41,9.98,2.14,6.94,14.95,78.59,39.96,18.36,79.78,49.06,1.28,0.32,2.44,0.26,5.12,7.69,2.54
1,3,17,26,WA,2020,95.6,17.95,36.25,42.04,8.28,1.65,8.22,15.76,73.53,37.49,17.86,74.96,42.48,1.38,0.27,1.82,0.27,5.89,8.49,1.33
1,7,9,27,WA,2020,95.54,16.84,34.18,40.68,8.07,1.96,7.56,13.72,74.44,33.73,17.9,77.2,44.01,1.23,0.28,1.6,0.29,7.36,9.6,3.01
1,8,14,28,WA,2020,94.74,21.56,30.91,36.01,10.29,2.06,6.88,16.13,79.36,44.8,17.52,79.66,48.66,1.71,0.31,1.99,0.35,6.25,9.14,0.95
1,1,2,29,WA,2020,95.47,19.15,32.35,37.81,8.76,2.03,7.15,15.84,77.09,41.88,18.18,78.7,48.08,1.35,0.3,2.06,0.3,6.64,9.19,1.36
1,11,19,30,WA,2020,95.3,21.33,30.79,36.26,8.39,1.93,6.79,16.62,79.82,45.84,17.28,78.89,47.66,1.6,0.31,1.76,0.38,7.32,9.91,0.65
1,9,2,31,WA,2020,95.24,19.09,31.6,36.74,9.15,1.72,7.21,15.62,77.48,42.51,17.29,78.7,47.05,1.84,0.25,1.78,0.36,7.04,9.94,1.16
1,1,16,32,WA,2020,94.84,17.96,34.88,41.34,7.15,1.78,7.69,15.09,75.11,36.51,18.36,75.94,44.41,1.15,0.29,1.97,0.26,6.54,8.67,2.48
1,3,19,33,WA,2020,95.11,23.02,30.18,35.26,10.01,2,6.54,17.19,81.06,48.75,18.34,81.5,52.01,1.42,0.35,2.3,0.37,5.7,8.51,0.81
1,2,15,34,WA,2020,94.99,22.05,31.43,36.25,10.33,1.81,6.85,17.17,79.95,47.35,17.64,79.94,48.65,1.71,0.32,2.09,0.37,5.79,8.82,0.67
1,2,1,35,WA,2020,95.69,19.91,30.95,35.98,9.73,1.88,7.14,14.53,77.06,40.38,16.62,79.06,46.18,1.55,0.28,1.87,0.32,6.69,9.26,2.02
1,3,20,36,WA,2020,94.83,23.6,29.23,33.49,9.18,2.01,6.58,16.88,82.57,50.39,17.23,82.25,51.43,1.52,0.34,2.22,0.38,5.85,8.56,0.82
1,1,17,37,WA,2020,95.66,21.55,29.43,34.55,9.17,2.07,6.92,15.22,80.15,44.04,16.71,80.67,48.37,1.57,0.31,1.88,0.36,6.89,9.52,1.89
1,7,1,38,WA,2020,95.02,19.77,34.09,40.79,8.5,1.9,7.67,15.71,75.1,38.51,17.7,76.81,43.39,1.23,0.3,2.06,0.3,6.21,8.47,0.64
1,11,8,39,WA,2020,94.59,19.89,32.03,37.61,8.2,1.81,7.19,15.37,77.34,40.87,16.45,78.51,43.73,1.71,0.26,1.55,0.37,7.44,9.77,1.04
1,3,3,40,WA,2020,94.67,21.98,30.51,35.25,10.12,2.12,6.53,16.64,81.14,47.22,17.57,81.29,49.84,1.59,0.31,2.13,0.36,6.19,8.88,1.92
1,6,18,41,WA,2020,95.23,17.35,33.24,39.83,7.69,2.09,7.23,14.35,75.58,36.03,17.32,75.72,43.49,1.38,0.29,1.77,0.27,7.02,9.4,2.69
1,8,19,42,WA,2020,94.84,19.44,33.82,39.47,9.07,1.89,7.69,15.48,75.69,39.23,17,76.97,43.07,1.37,0.29,2.03,0.3,5.87,8.4,1
1,2,3,43,WA,2020,95.04,22.13,30.73,35.32,9.3,1.9,6.62,16.22,80.5,45.92,16.44,80.36,46.56,1.59,0.31,1.97,0.36,7.08,9.62,1.23
1,8,5,44,WA,2020,95.38,21.13,28.92,34.11,8.12,2.15,6.47,14.07,80.4,41.26,16.64,80.82,48.79,1.22,0.31,2.03,0.33,7.37,9.63,2.27
1,7,10,45,WA,2020,94.84,15.96,28.88,35.11,8.55,2.22,6.63,11.45,78.59,32.59,15.41,79.67,43.88,1.33,0.25,1.44,0.29,8.73,11.12,5.59
1,6,14,46,WA,2020,94.86,18.89,29.01,33.92,8.59,2,6.5,13.37,80.06,39.41,16.15,80.26,47.61,1.52,0.27,1.78,0.32,7.61,10.27,3.86
