cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,9,13,33,OR,2021,94.44,21.06,31.52,36.51,8.32,1.76,7.23,15.61,78.77,42.75,16.57,79.5,45.4,1.36,0.31,2.05,0.34,6.51,9.02,1.12
1,1,1,34,OR,2021,94.2,19.16,32.82,37.72,7.89,1.94,7.12,15.47,79.87,41.02,18.18,78.84,48.2,1.29,0.33,2.39,0.29,7.18,9.91,1.63
1,11,20,35,OR,2021,93.56,20.74,30.46,35.08,8.96,1.99,6.82,14.72,79.81,41.95,16.23,80.66,46.28,1.52,0.31,2.01,0.36,7.06,9.59,2.49
1,8,3,36,OR,2021,93.56,20.71,32.08,37.05,8.32,1.82,7.15,16.03,80.27,43.27,16.94,80.33,45.72,1.39,0.31,2.32,0.32,6.51,9.11,1.42
1,3,4,37,OR,2021,94.25,21.34,31.12,35.57,8.52,1.92,6.83,15.66,81.21,44.03,16.85,81.2,47.38,1.26,0.33,2.45,0.3,6.91,9.36,1.5
1,5,20,38,OR,2021,94.28,18.19,32.05,37.2,7.82,1.82,6.91,14.58,78.67,39.19,16.99,79.9,45.66,1.26,0.3,2.14,0.28,8.32,10.59,2.87
1,5,18,39,OR,2021,94.22,21.79,30.64,35.71,8.17,1.87,7.03,15.75,80.41,44.09,17.16,80.81,48.06,1.32,0.33,2.27,0.32,6.4,9,1.15
1,2,8,40,OR,2021,94.38,19,33.22,37.5,8.38,1.71,7.09,16.36,79.5,43.64,17.71,79.91,47.24,1.31,0.3,2.51,0.27,7.27,9.78,1.48
1,5,17,41,OR,2021,93.69,19.12,33.71,38.5,7.6,1.86,7.45,15.29,77.91,39.73,16.97,78.48,44.08,1.41,0.3,2.08,0.3,7.26,9.6,1.98
1,11,12,42,OR,2021,93.85,22.29,29.32,33.44,8.36,2.18,6.28,15.07,82.39,45.05,16.15,82.55,48.28,1.32,0.34,2.05,0.38,7.52,9.67,2.46
1,11,13,43,OR,2021,93.61,22.35,26.15,30.12,7.97,2.14,5.5,14.31,84.99,47.52,15.66,85,52.01,1.3,0.34,2.06,0.37,9.08,11.36,2.41
1,4,10,44,OR,2021,94.13,23.17,26.57,30.15,10.18,2.07,5.82,14.59,83.82,48.4,15.4,84.32,51.09,1.39,0.33,2.59,0.33,7.11,9.62,2.49
1,10,6,45,OR,2021,94.22,20.66,30.03,34.29,8.61,1.86,6.5,14.52,80.74,42.34,16.11,81.61,46.98,1.39,0.31,2.18,0.32,7.67,10.14,2.28
1,1,17,46,OR,2021,94.15,20.72,31.96,36.74,8.4,1.86,6.67,15.82,80.66,43.06,18.18,80.76,49.48,1.15,0.35,2.57,0.29,7.14,9.59,1.4
1,4,19,47,OR,2021,93.82,19.39,32.82,38.41,7.42,1.75,7.14,15.03,78.56,39.13,17.3,78.96,45.05,1.33,0.3,2.22,0.32,7.38,9.71,2.23
1,1,8,48,OR,2021,94.37,19.62,33.69,38.95,8.79,1.81,7.36,16.44,79.23,42.2,18.56,79.33,47.64,1.3,0.32,2.71,0.3,5.96,8.75,1.31
