Loc,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
ID_19,20816,Higest 360,2,93.80704,25.0277,34.21453,41.10167,10.07191,2.38738,5.69797,16.90625,75.25991,19.5604,82.21777,1.14362,0.44032,2.53136,0.41377,6.23601,6.38236,2.11344
ID_19,20913,Vernal FD2,2,93.92193,21.12561,35.54251,43.88192,9.48426,2.3025,6.48159,17.14531,73.77843,20.59686,76.85606,1.13777,0.37176,2.96524,0.35936,4.23079,4.7172,3.11163
ID_19,20919,Higest 360,2,93.84481,23.51013,31.57361,38.04419,9.96937,2.43068,5.59186,14.92119,77.2906,18.11369,79.49091,1.24,0.3819,2.87966,0.39619,5.10135,5.29921,3.63877
ID_19,21004,Vernal FD2,2,94.04418,22.19839,33.37551,41.17072,10.05977,2.4092,5.87395,16.39569,75.66452,19.43657,78.43536,1.25851,0.37622,2.96538,0.38689,4.51711,5.28337,3.17904
ID_19,21013,Higest 360,2,93.48934,24.72583,34.13339,40.69195,9.35127,2.53796,6.10024,16.92297,75.09589,19.37886,81.22901,1.25847,0.44537,2.47279,0.45895,6.84254,7.18654,2.11307
ID_19,21104,Vernal FD2,2,93.92653,22.34152,34.13872,40.86516,9.29976,2.34485,5.95262,17.038,76.42574,19.74677,79.30669,1.1284,0.38708,2.95178,0.37329,4.77472,5.11464,3.02572
ID_19,21109,Higest 360,2,93.55698,25.07744,34.25396,41.84379,9.61059,2.61634,5.7205,16.68785,75.68072,19.72094,81.62541,1.2483,0.45221,2.66287,0.4156,6.67944,6.94982,2.0737
ID_19,20103,Higest 360,3,94.61911,20.91365,34.33816,41.55318,10.67111,1.84809,6.37451,17.67498,76.46781,19.30653,77.72809,1.49455,0.37101,2.67445,0.38161,5.5189,6.80009,3.55927
ID_19,20105,Vernal FD2,3,94.52766,19.46439,36.83187,43.72393,10.5302,1.94383,6.66262,18.14229,73.70187,19.71299,76.48432,1.54443,0.35403,2.51385,0.41641,5.50528,6.45478,2.75161
ID_19,20106,Archer FD5,3,94.77692,21.51425,34.27254,42.26369,11.48085,1.76715,6.23587,18.31125,76.3184,20.41927,78.2438,1.53585,0.38765,2.82295,0.39144,5.00083,6.70862,3.3367
ID_19,20117,Legend FD4,3,94.49774,21.9359,33.95178,41.82814,11.3281,1.60595,6.58757,17.77576,75.85741,20.57662,77.75301,1.59582,0.39097,2.80522,0.38227,5.48255,7.16551,3.81887
ID_19,20203,Vernal FD2,3,94.48292,21.14005,34.69505,41.13903,10.56663,1.79974,6.29597,16.60666,75.34135,18.82201,77.52082,1.42959,0.35634,2.82432,0.34962,5.75409,6.89623,3.17098
ID_19,20212,144:22277_ 5246 FD3,3,94.62892,21.89614,31.77952,38.54581,10.85088,2.03801,5.83276,16.71327,79.32368,18.89581,80.19671,1.597,0.37415,2.67148,0.38445,5.80131,7.20323,3.67116
ID_19,20213,Higest 360,3,94.45405,21.51794,32.37952,40.45282,11.57541,1.77927,6.19655,17.48993,77.59747,20.28316,79.4132,1.72324,0.37942,2.70702,0.41359,6.09778,7.97709,3.94831
ID_19,20314,Vernal FD2,3,94.54147,23.61653,31.15672,38.18535,11.45816,1.9848,5.21979,16.3924,77.82689,18.3588,80.54807,1.53473,0.38409,2.55996,0.42183,5.82596,7.4164,3.17289
ID_19,20320,Higest 360,3,94.63245,21.00379,34.23201,41.78423,11.00873,1.8608,6.466,17.78723,76.35732,19.51627,77.7534,1.55363,0.37358,2.65603,0.39012,5.63322,6.95174,3.55009
ID_19,20405,Higest 360,3,94.57975,20.52389,34.33261,42.89858,11.3637,1.68445,6.56216,17.94423,75.35211,20.49859,77.37469,1.59137,0.37124,2.81413,0.38267,5.67241,7.46445,3.51239
ID_19,20411,Vernal FD2,3,94.47085,20.80973,34.75829,41.43119,10.57485,1.96102,6.24752,17.98939,75.77224,19.75935,78.38049,1.53873,0.36684,2.67284,0.42532,5.59435,6.4784,2.85899
ID_19,20419,ABI 700 FD6,3,94.57144,21.2076,34.12391,42.48673,11.87929,1.64931,6.49073,18.38143,75.52222,21.34292,77.93359,1.76933,0.3828,2.66833,0.42173,5.43463,7.32626,3.80159
