Cutting,ID,block,position,gen,Name,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,Ca,P,Mg,K,Starch,Su_ESC,Su_WSC,TTNDFD
1,21020,10,20,124,452483_Peace,ID,2018,95.3,29.71,26.94,29.42,9.21,2.06,5.93,1.43,0.4,0.39,3,0.44,5.29,7.37,46.88
1,21101,11,1,189,55Q27,ID,2018,95.23,28,26.28,30.02,10,1.93,5.91,1.48,0.36,0.4,2.62,0.57,5.96,7.65,44.87
1,21102,11,2,17,502473,ID,2018,95.32,27.67,27.06,30.53,9.83,1.95,6.06,1.39,0.35,0.39,2.67,0.82,5.48,7.45,43.13
1,21103,11,3,197,5472,ID,2018,95.21,24.38,29.71,35.43,9.41,1.81,6.23,1.34,0.35,0.35,2.79,0.89,5.77,7.35,43.64
1,21104,11,4,201,22338_ VernalFD2,ID,2018,95.32,26.28,28.16,32.1,9.46,1.98,5.95,1.41,0.36,0.37,2.87,0.72,5.39,7.66,46.5
1,21105,11,5,156,Swift,ID,2018,95.2,27.34,26.62,31,9.53,1.97,5.69,1.37,0.37,0.37,2.75,1.01,6.42,8.03,44.99
1,21106,11,6,25,516791,ID,2018,95.54,26.39,27.75,31.5,10.64,1.88,5.86,1.38,0.35,0.41,2.55,1.26,5.11,7.57,43.34
1,21107,11,7,173,AFX018,ID,2018,95.32,29.62,25.49,28.41,10.44,1.94,5.45,1.47,0.39,0.42,2.77,0.8,5.58,7.66,48.38
1,21108,11,8,84,440503,ID,2018,95.53,26.6,27.45,31.28,10.35,1.87,6.03,1.37,0.34,0.41,2.45,1.26,5.94,8.2,43.92
1,21109,11,9,202,Hi-Gest360,ID,2018,95.48,28.37,25.59,29.01,10.98,1.88,5.44,1.35,0.38,0.41,2.62,1.4,6.56,7.98,48.8
1,21110,11,10,94,467901,ID,2018,95.34,27.86,25.96,29.01,10.67,2.01,5.64,1.41,0.36,0.43,2.57,1.33,5.79,7.84,44.87
1,21111,11,11,146,Dove,ID,2018,95.19,28.1,25.56,29.34,10.31,1.91,5.6,1.48,0.37,0.41,2.58,0.82,6.29,7.85,48.08
1,21112,11,12,18,502477,ID,2018,95.45,27.27,27.61,31.05,9.83,1.89,6.16,1.41,0.36,0.39,2.8,0.79,5.8,7.53,44.37
1,21113,11,13,55,340116,ID,2018,95.06,26.81,26.08,31.8,10.08,1.83,5.48,1.39,0.36,0.38,2.77,1.21,7.1,8.02,49.97
1,21114,11,14,31,467964,ID,2018,95.26,26.73,27.28,31.44,10.01,1.87,5.82,1.4,0.37,0.39,2.67,0.77,5.51,7.75,48.03
1,21115,11,15,24,502646,ID,2018,95.01,26.99,26.3,31.65,9.04,2,5.6,1.33,0.36,0.36,2.74,1.02,6.79,8.13,45.3
1,21116,11,16,99,467947,ID,2018,95.56,26.74,27.98,32.32,9.79,1.92,5.82,1.39,0.37,0.38,2.75,0.74,5.31,7.85,44.84
1,21117,11,17,137,467894,ID,2018,95.81,27.51,27.42,31.42,11.02,1.89,5.67,1.3,0.39,0.38,2.78,1.11,5.38,7.66,48.96
1,21118,11,18,67,206110,ID,2018,95.78,25.38,27.1,31.19,10.41,1.97,5.65,1.29,0.35,0.38,2.66,1.47,5.49,7.89,46.64
1,21119,11,19,50,467966,ID,2018,95.7,26.65,28.12,31.79,10.45,1.89,5.94,1.37,0.37,0.4,2.73,0.92,5.06,7.38,46.5
1,21120,11,20,32,467969,ID,2018,95.95,26.7,30.04,32.68,9.97,1.85,6.56,1.38,0.36,0.42,2.87,0.89,4.57,7.07,46.06
1,30101,1,1,34,467982,OR,2018,94.76,27.13,32.6,38.79,10.12,2.07,6.63,1.21,0.4,0.32,3.04,0.52,5.13,6.1,45.96
1,30102,1,2,90,346911,OR,2018,94.89,24.74,32.32,38.15,10.23,2.41,6.15,1.18,0.37,0.3,3.08,0.95,4.54,6.52,46.21
1,30103,1,3,201,22338_ VernalFD2,OR,2018,95.06,24.59,34.12,40.86,9.82,1.92,6.83,1.15,0.38,0.3,3.05,0.71,5.57,6.72,45.95
1,30104,1,4,55,340116,OR,2018,95.01,20.69,34.99,42.9,9.11,1.91,6.98,1.05,0.32,0.26,2.89,1.43,6.53,7.07,41.22
1,30105,1,5,10,467951,OR,2018,95.18,24.74,35.02,40.7,10.11,1.93,7.1,1.21,0.37,0.31,3,0.4,4.39,6.17,44.16
1,30106,1,6,192,SW5210,OR,2018,94.89,25.04,30.89,37.56,10.16,2.27,6.09,1.12,0.38,0.28,2.93,1.43,6.16,6.73,42.79
1,30107,1,7,145,26659_5269,OR,2018,95.13,26.56,31.95,37.25,10.2,2.12,6.35,1.22,0.4,0.31,3.06,0.53,5.01,6.9,45.63
1,30108,1,8,48,502462,OR,2018,94.73,23.33,33.76,40.09,10.27,2.21,6.64,1.12,0.36,0.31,2.93,1.68,5.36,6.15,42.98
1,30109,1,9,74,452478,OR,2018,94.9,24.96,32.58,38.48,10.31,2.14,6.45,1.22,0.39,0.3,3.22,0.59,5.22,6.54,46.92
1,30110,1,10,159,AFX003,OR,2018,94.86,26.35,30.54,36.68,10.07,2.23,5.95,1.14,0.4,0.31,2.97,1.22,5.7,6.8,48.76
1,30111,1,11,176,LS202,OR,2018,95.13,27.82,31.11,36.03,9.74,2.22,6.46,1.22,0.4,0.32,3.02,0.61,5.24,6.96,46.08
1,30112,1,12,95,467902,OR,2018,94.87,24.84,30.4,36.58,10.37,2.34,5.99,1.18,0.37,0.3,2.77,1.73,6.17,6.89,44.87
1,30113,1,13,190,55V48,OR,2018,95.2,25.33,32.8,38.16,10.01,2.02,6.93,1.26,0.36,0.33,2.76,0.76,5.23,6.78,42.47
1,30114,1,14,81,452437,OR,2018,95.41,22.12,32.31,39.38,8.94,2.04,6.91,1.14,0.31,0.29,2.55,1.49,6.32,7.83,39.76
1,30115,1,15,167,CiscoII,OR,2018,95.1,24.6,33.28,38.85,10.14,2.15,6.85,1.2,0.36,0.32,2.94,0.81,4.68,6.45,42.8
1,30116,1,16,123,467915,OR,2018,95.22,24.88,32.15,37.98,9.11,2.14,6.8,1.14,0.36,0.31,2.66,1.36,5.82,7.07,41.82
1,30117,1,17,46,499546,OR,2018,95.3,25.46,31.02,37.21,9.43,2.28,6.21,1.25,0.35,0.28,3.16,0.86,4.63,7.78,48.13
1,30118,1,18,160,PGI529,OR,2018,95.34,21.31,35.02,43.33,9.29,1.87,7.2,1.1,0.31,0.28,2.77,1.2,6.28,7.1,41.3
1,30119,1,19,18,502477,OR,2018,95.05,26.29,29.44,35.93,9.67,2.31,5.73,1.3,0.35,0.29,3.09,1.19,5.35,7.67,50.61
1,30120,1,20,202,Hi-Gest360,OR,2018,95.49,25.11,30.32,36.94,10.04,2.23,5.91,1.12,0.37,0.27,3.02,1.5,6.6,7.55,50.13
1,30201,2,1,178,LS605,OR,2018,95.32,26.97,29.57,34.79,10.01,2.29,5.82,1.27,0.35,0.28,3.24,1.07,5.07,7.61,49.28
1,30202,2,2,121,467922,OR,2018,95.34,23.09,31.34,37.84,10.56,2.24,6.12,1.17,0.34,0.3,3.02,1.79,6.29,7,46.91
1,30203,2,3,173,AFX018,OR,2018,95.09,26.88,29.37,35.47,10.1,2.26,5.77,1.32,0.36,0.26,3.52,0.62,5.41,7.35,51.61
1,30204,2,4,65,212104,OR,2018,95.1,21.72,32.5,39.77,9.56,2.05,6.52,1.1,0.3,0.27,2.82,1.95,7.03,7.44,41.71
1,30205,2,5,181,54Q29,OR,2018,96.23,22.95,34.17,42.46,8.7,1.93,6.52,1.32,0.36,0.31,2.82,0.52,6.25,9.22,58.72
1,30206,2,6,25,516791,OR,2018,95.09,23.07,28.19,35.1,9.92,2.35,5.44,1.05,0.32,0.21,3.45,2.93,6.56,7.5,47.17
1,30207,2,7,153,Wren,OR,2018,95.78,25.11,32.23,39.15,9.63,2.05,6.75,1.24,0.38,0.3,2.88,0.71,6.04,7.94,47.87
1,30208,2,8,40,468056,OR,2018,95.22,23.02,32.15,38.88,9.85,2.3,6.54,1.13,0.35,0.27,3.13,1.57,5.98,6.81,45.8
1,30209,2,9,78,452475,OR,2018,95,25.82,31.62,37.63,10.17,2.24,6.06,1.28,0.37,0.3,3.09,0.42,4.82,6.79,48.57
1,30210,2,10,201,22338_ VernalFD2,OR,2018,95.58,25.72,31.48,38,9.58,2.36,6.29,1.22,0.39,0.31,2.94,0.99,5.26,7.58,50.97
1,30211,2,11,179,LS206,OR,2018,95.68,26.66,29.35,35.42,9.3,2.12,6.08,1.29,0.38,0.34,2.68,1.07,6.55,8.46,49.93
1,30212,2,12,21,502482,OR,2018,95.22,26.15,30.7,35.92,10.5,2.45,5.93,1.25,0.36,0.31,2.96,1.14,4.57,6.89,48.62
1,30213,2,13,59,278705_FERAX,OR,2018,94.88,25.34,31.2,38.04,9.99,2.18,6.28,1.33,0.37,0.33,2.64,0.95,5.64,6.81,46.96
1,30214,2,14,92,340123,OR,2018,95.25,23.75,30.92,37.46,9.51,2.23,6.31,1.25,0.32,0.31,2.53,1.47,5.77,7.54,42.98
1,30215,2,15,27,499540,OR,2018,95,26.2,30.67,36.33,9.99,2.29,6.04,1.3,0.37,0.34,2.65,1.09,5.39,7.49,46.74
1,30216,2,16,193,SW5213,OR,2018,95.79,25.74,28.73,35.09,9.41,2.32,5.81,1.31,0.37,0.33,2.55,1.47,6.54,9.06,53.79
1,30217,2,17,202,Hi-Gest360,OR,2018,95.25,27.08,28.96,35.18,9.04,2.17,5.99,1.32,0.38,0.35,2.41,1.22,6.69,8.09,49.27
1,30218,2,18,94,467901,OR,2018,95.16,23.26,31.51,38.2,9.93,2.11,6.51,1.25,0.32,0.3,2.58,1.6,6.24,7.31,42.58
1,30219,2,19,99,467947,OR,2018,96.18,23.53,33.43,40.93,9.53,1.89,6.78,1.37,0.36,0.31,2.59,0.48,5.87,9.01,54.61
1,30220,2,20,51,491398,OR,2018,95.13,22.34,32.77,39.6,9.46,2.21,6.41,1.21,0.32,0.3,2.61,1.63,5.88,7.03,41.97
1,30301,3,1,139,464740,OR,2018,96.4,23.45,33.03,40.06,9.34,1.86,6.51,1.37,0.34,0.33,2.75,0.82,6.48,9.38,57.45
1,30302,3,2,113,22278,OR,2018,95.36,21.98,32.95,39.53,9.94,2.04,6.57,1.15,0.32,0.27,2.85,1.74,6.74,7.2,41.92
1,30303,3,3,183,55V12,OR,2018,95.87,23.78,33.23,39.56,8.95,2.05,7.09,1.27,0.35,0.29,2.73,0.62,5.34,7.68,44.2
1,30304,3,4,37,468011,OR,2018,95.83,23.74,32.14,37.64,9.52,2.28,6.88,1.29,0.34,0.31,2.61,1.16,5.09,7.67,42.87
1,30305,3,5,189,55Q27,OR,2018,95.38,23.53,32.98,38.85,9.43,2.13,6.6,1.25,0.33,0.3,2.74,1,5.35,7.32,42.17
1,30306,3,6,84,440503,OR,2018,95.23,22.68,32.74,38.93,9.84,2.08,6.56,1.25,0.32,0.32,2.6,1.59,6.01,7.28,43.6
1,30307,3,7,133,452599,OR,2018,95.59,24.18,31.49,37.39,9.17,2.16,6.47,1.21,0.34,0.27,2.99,1.07,6.06,7.53,46.38
1,30308,3,8,187,SW3406,OR,2018,94.86,26.25,29.75,35.54,10.42,2.38,5.67,1.22,0.39,0.32,2.85,1.44,5.9,6.84,46.01
1,30309,3,9,202,Hi-Gest360,OR,2018,95.94,24.71,33.04,39.41,9.25,2.05,6.87,1.26,0.37,0.3,2.79,0.79,5.78,7.65,48.62
1,30310,3,10,110,22333_Sutter,OR,2018,95.28,21.47,32.6,39.31,9.79,2.03,6.53,1.21,0.31,0.29,2.58,1.86,6.85,7.28,41.33
1,30311,3,11,144,22277_5246FD3,OR,2018,95.44,24.34,31.92,38.2,9.63,2.14,6.37,1.25,0.34,0.3,2.72,0.91,5.28,7.24,45.2
1,30312,3,12,79,452474,OR,2018,95.03,24.02,31.58,38.26,9.99,2.11,6.19,1.24,0.36,0.31,2.92,1.17,5.94,6.9,46.81
1,30313,3,13,195,54Q14,OR,2018,95.32,21.82,34.57,42.01,9.1,1.9,7.24,1.23,0.32,0.29,2.62,0.71,5.64,7.09,39.54
1,30314,3,14,77,452477,OR,2018,95.08,23.24,31.16,37.94,9.96,2.23,6.2,1.26,0.34,0.3,2.75,1.23,6.04,7.38,43.53
1,30315,3,15,54,340117,OR,2018,95.8,22.53,34.13,40.65,8.51,2.03,7.47,1.25,0.32,0.31,2.52,1.04,5.89,7.74,43.04
1,30316,3,16,161,Rugged,OR,2018,95.07,24.02,30.77,36.97,9.81,2.32,6.09,1.2,0.35,0.29,2.7,1.59,6.05,7.01,42.05
1,30317,3,17,104,22287_ArcherFD5,OR,2018,95.3,24.04,33.3,39.82,9.79,2.15,6.69,1.23,0.35,0.32,2.65,1.01,5.17,6.82,41.41
1,30318,3,18,177,LS302,OR,2018,95.22,23.55,31.94,38.73,10.04,2.25,6.36,1.23,0.34,0.3,2.64,1.45,5.59,6.97,41.26
1,30319,3,19,4,172982,OR,2018,95.24,23.9,33.27,39.8,9.85,2.06,6.55,1.27,0.34,0.32,2.71,1.14,5.42,7.03,46.26
1,30320,3,20,201,22338_ VernalFD2,OR,2018,95.02,24.25,30.72,36.71,10.13,2.33,5.96,1.24,0.35,0.32,2.59,1.7,6.2,7.15,43.74
1,30401,4,1,108,22339_Vernema,OR,2018,95.31,25.43,31.62,37.12,10.82,2.28,6.38,1.41,0.35,0.34,2.55,1.12,4.88,6.83,44.06
1,30402,4,2,197,5472,OR,2018,95.39,22.65,33.31,40.24,10.3,2.16,6.57,1.22,0.34,0.31,2.62,1.74,5.88,6.65,41.52
1,30403,4,3,100,467936,OR,2018,95.31,23.54,33.67,40.1,10.36,2.19,6.66,1.32,0.35,0.31,2.81,1.03,4.71,6.56,43.52
1,30404,4,4,49,467963,OR,2018,95.23,23.69,31.55,38.15,10.13,2.18,6.26,1.28,0.34,0.31,2.74,1.74,6.44,7.1,43.99
1,30405,4,5,15,467959,OR,2018,95.41,23.16,32.9,39.76,9.89,2.1,6.46,1.27,0.33,0.32,2.53,1.51,5.96,7.4,42.04
1,30406,4,6,201,22338_ VernalFD2,OR,2018,95.38,22.57,33.41,40.43,10.18,2.14,6.53,1.21,0.34,0.28,2.85,1.64,5.96,6.56,42.78
1,30407,4,7,13,467953,OR,2018,95.13,24.83,33,38.99,10.31,2.22,6.65,1.35,0.36,0.35,2.61,1.16,4.74,6.41,44.47
1,30408,4,8,63,244317,OR,2018,95.27,23.89,30.49,36.84,10.06,2.21,5.94,1.28,0.35,0.33,2.53,2.06,6.76,7.29,44.55
1,30409,4,9,191,SW42032,OR,2018,95.37,23.82,32.75,39.56,9.87,1.99,6.8,1.37,0.34,0.34,2.46,1.23,5.63,7.09,43.19
1,30410,4,10,44,Legend_FD4,OR,2018,95.21,23.04,31.41,38.64,10.72,2.13,6.19,1.2,0.34,0.3,2.77,2.05,6.84,7.09,45.89
1,30411,4,11,102,22328_Ranger,OR,2018,95.19,22.59,33.59,40.85,9.77,2,6.8,1.32,0.32,0.33,2.34,1.16,5.5,7.31,42.01
1,30412,4,12,115,467908,OR,2018,95.61,22.44,33.79,40.2,9.3,1.95,7.14,1.2,0.32,0.31,2.53,1.71,6.41,7.21,42.27
1,30413,4,13,202,Hi-Gest360,OR,2018,95.28,25.89,30.34,36.73,10.28,2.19,6.03,1.28,0.37,0.35,2.55,1.36,5.66,7.3,48.15
1,30414,4,14,112,22304_Maverick_FD1,OR,2018,95.4,22.15,33.37,40.62,10.05,1.98,6.82,1.24,0.32,0.32,2.51,1.68,6.03,7.07,42.81
1,30415,4,15,131,465739_Guron,OR,2018,95.58,22.6,33.45,40.04,9.19,1.91,7.07,1.31,0.3,0.32,2.45,1.22,5.69,7.54,41.11
1,30416,4,16,85,430563,OR,2018,95.46,22.81,33.66,40.14,10.46,2.12,6.64,1.22,0.34,0.28,2.99,1.18,4.9,6.84,45.02
1,30417,4,17,126,464738,OR,2018,95.41,23.78,33.05,40.39,9.65,2.03,6.71,1.34,0.33,0.33,2.4,1.16,5.33,7.08,44.41
1,30418,4,18,67,206110,OR,2018,95.29,23.34,31.84,38.09,10.88,2.3,6.16,1.25,0.35,0.31,2.75,1.78,5.15,6.82,44.23
1,30419,4,19,47,502424,OR,2018,95.34,23.27,34.29,40.87,9.95,2.2,6.95,1.3,0.34,0.32,2.59,1.02,4.76,6.47,41.39
1,30420,4,20,182,5432,OR,2018,95.27,23.68,32.37,39.09,9.8,2.22,6.45,1.25,0.35,0.29,2.75,1.23,5.37,6.8,42.68
1,30501,5,1,75,452480,OR,2018,95.1,25.32,31.81,37.9,10.62,2.16,6.33,1.34,0.37,0.33,2.73,1.17,5.09,6.73,47.56
1,30502,5,2,171,AFX016,OR,2018,95.22,23.58,30.98,37.51,10.07,2.22,6.05,1.23,0.34,0.31,2.75,1.95,6.48,7.18,43.25
1,30503,5,3,154,BlueJayHR,OR,2018,95.36,24.94,31.87,37.84,10.64,2.19,6.44,1.35,0.35,0.32,2.5,1.19,4.99,6.94,42.5
1,30504,5,4,119,467925,OR,2018,95.19,25.68,30.31,36.03,10.42,2.4,5.89,1.29,0.37,0.31,2.87,1.65,5.71,6.74,45.28
1,30505,5,5,201,22338_ VernalFD2,OR,2018,95.51,21.9,34.97,41.49,10.02,2.05,7.21,1.31,0.32,0.32,2.58,1.03,4.9,6.84,40.62
1,30506,5,6,17,502473,OR,2018,95.17,24.1,32.05,37.73,11.2,2.24,6.27,1.25,0.35,0.32,2.79,1.96,5.61,6.54,43.12
1,30507,5,7,22,502484,OR,2018,95.32,24.14,32.34,39.29,10.55,2.19,6.4,1.25,0.35,0.3,2.72,1.44,5.32,6.76,45.87
1,30508,5,8,202, Hi-Gest360,OR,2018,95.33,24.05,30.13,36.52,10.15,2.27,5.83,1.16,0.36,0.3,2.74,1.76,6.57,7.43,44.84
1,30509,5,9,82,440506,OR,2018,95.19,21.97,34.53,42.06,9.58,1.94,7.11,1.27,0.32,0.33,2.25,1.27,5.53,6.57,39.11
1,30510,5,10,50,467966,OR,2018,95.13,22.65,32.6,40.39,10.01,2.2,6.26,1.2,0.36,0.31,2.65,1.58,5.87,6.45,41.28
1,30511,5,11,134,452490,OR,2018,95.34,23.49,32.86,39.53,9.97,2.03,6.84,1.29,0.35,0.36,2.45,1.34,5.65,6.88,40.89
1,30512,5,12,62,253950,OR,2018,95.11,23.9,31.35,38.05,10.38,2.21,6.32,1.25,0.35,0.34,2.53,1.87,6.34,6.64,41.72
1,30513,5,13,29,499660,OR,2018,95.15,25.7,30.11,36.1,9.13,2.25,6.34,1.22,0.37,0.36,2.49,1.59,6.47,7.52,45.12
1,30514,5,14,122,467918,OR,2018,95.27,23.35,31.46,37.69,10.22,2.23,6.38,1.23,0.34,0.32,2.56,1.94,6.15,6.93,40.71
1,30515,5,15,137,467894,OR,2018,95.16,25.1,31.32,37.57,10.38,2.17,6.31,1.33,0.37,0.36,2.51,1.23,5.44,7.04,46.07
1,30516,5,16,71,182241,OR,2018,95.02,22.06,32.01,39.66,10.36,2.11,6.21,1.22,0.34,0.32,2.41,2.13,6.88,6.99,41.94
1,30517,5,17,41,486130,OR,2018,95.36,24.25,33.99,40.2,9.95,2.12,7.03,1.26,0.35,0.33,2.67,1.11,4.78,6.31,39.86
1,30518,5,18,39,468055,OR,2018,95.22,22.41,34.07,40.88,10.31,2.18,6.88,1.29,0.34,0.33,2.44,1.39,5.14,6.33,40.33
1,30519,5,19,28,499659,OR,2018,95.16,26.59,31.48,37.64,10.07,2.21,6.21,1.28,0.39,0.34,2.6,0.93,4.98,7.07,45.3
1,30520,5,20,38,468013,OR,2018,95.22,22.87,34.38,41.18,10.87,2.21,6.88,1.29,0.34,0.3,2.79,1.43,4.53,6.09,39.03
1,30601,6,1,201,22338_ VernalFD2,OR,2018,95.12,25.39,32.02,38.3,9.76,2.19,6.29,1.29,0.38,0.33,2.68,0.92,5.33,6.83,44.05
1,30602,6,2,116,467906,OR,2018,95.25,22.43,33.95,41.11,10.26,2.04,6.67,1.27,0.35,0.3,2.78,1.4,5.77,6.44,40.32
1,30603,6,3,60,262544,OR,2018,94.87,23.63,34.09,40.87,10.29,2.12,6.66,1.23,0.37,0.32,2.84,1.29,5.17,6.09,40.44
1,30604,6,4,156,Swift,OR,2018,95.06,24.06,30.88,37.67,10.11,2.23,6.11,1.27,0.36,0.31,2.61,1.56,6.54,7.19,42.42
1,30605,6,5,188,55Q28,OR,2018,95.3,24.72,32.35,39.26,9.79,2.13,6.37,1.28,0.36,0.32,2.73,1.01,5.83,7.07,40.36
1,30606,6,6,140,464793,OR,2018,95.34,23.13,34.24,40.51,10.3,2.09,6.81,1.24,0.36,0.33,2.76,1.43,5.24,6.52,42.18
1,30607,6,7,76,452476,OR,2018,95.34,23.73,35.08,41.62,10.76,2.05,6.99,1.26,0.36,0.31,3.05,1.03,4.54,5.79,42.27
1,30608,6,8,109,Alfagraze,OR,2018,95.29,22.7,33.49,40.03,9.5,2.12,6.86,1.16,0.34,0.29,2.74,1.6,5.96,6.54,38.78
1,30609,6,9,101,467914,OR,2018,95.1,24.04,33.4,39.75,10.27,2.08,6.8,1.31,0.36,0.32,2.68,0.98,5.12,6.45,40.73
1,30610,6,10,185,54VQ52,OR,2018,95.24,23.49,32.73,39.44,9.07,2.05,6.85,1.17,0.35,0.31,2.52,1.68,6.65,6.87,39.16
1,30611,6,11,146,Dove,OR,2018,95.12,23.78,32.2,38.37,10.29,2.12,6.79,1.36,0.33,0.35,2.53,1.27,5.7,6.72,39.28
1,30612,6,12,202,Hi-Gest360,OR,2018,95.14,24.15,30.83,38.42,9.75,2.16,6.06,1.18,0.36,0.3,2.45,1.77,6.97,7.28,42.63
1,30613,6,13,129,467931,OR,2018,95.21,22.85,33.31,40.23,10.15,2.04,6.83,1.24,0.34,0.32,2.64,1.24,5.46,6.96,41.3
1,30614,6,14,87,426208,OR,2018,95.11,23.1,31.31,38.09,10.35,2.09,6.55,1.3,0.32,0.33,2.45,2.07,6.78,6.96,38.62
1,30615,6,15,150,Skylark,OR,2018,94.95,27.11,30.53,36.75,9.94,2.27,6.1,1.24,0.39,0.33,2.78,1.09,5.39,6.82,43.93
1,30616,6,16,155,Robin,OR,2018,95.05,26.77,28.19,33.76,10.05,2.38,5.66,1.23,0.39,0.35,2.5,1.87,6.64,7.33,44.78
1,30617,6,17,98,Wrangler,OR,2018,95.08,23.11,33.34,40.96,9.3,2.06,6.86,1.2,0.34,0.32,2.49,1.35,5.96,6.74,39.69
1,30618,6,18,3,173738,OR,2018,95.11,21.1,35.07,43.63,9.34,1.96,7.11,1.08,0.33,0.27,2.62,1.73,5.44,6.41,37.61
1,30619,6,19,88,430561,OR,2018,95.11,24.29,33.39,40.99,9.9,2.1,6.65,1.21,0.38,0.3,2.9,1.01,5.53,6.4,41.85
1,30620,6,20,69,204591,OR,2018,94.97,24,32.44,39.1,9.77,2.15,6.5,1.13,0.37,0.31,2.77,1.7,6.08,6.55,42.31
1,30701,7,1,149,KingBird,OR,2018,95.04,24.49,31.1,38.68,9.53,2.12,6.18,1.22,0.37,0.31,2.67,1.47,6.77,7.43,44.52
1,30702,7,2,165,AFX009,OR,2018,94.71,24.88,28.13,35.13,10.32,2.31,5.54,1.19,0.37,0.31,2.84,2.41,6.65,7.16,45.18
1,30703,7,3,138,467893,OR,2018,94.82,24.16,32.81,40.36,9.91,2.06,6.64,1.26,0.36,0.34,2.51,1.31,6.21,6.75,43.42
1,30704,7,4,201,22338_ VernalFD2,OR,2018,94.95,24.25,31.19,37.43,10.58,2.24,6.04,1.16,0.37,0.31,2.79,1.97,6.5,6.76,44.87
1,30705,7,5,31,467964,OR,2018,94.96,24.96,31.73,37.83,10.21,2.14,6.25,1.26,0.37,0.34,2.73,1.23,5.46,6.88,44.9
1,30706,7,6,152,GoldFinch,OR,2018,94.53,26.75,28.47,35.18,10.14,2.42,5.52,1.16,0.42,0.3,3.03,1.56,5.98,6.54,46.46
1,30707,7,7,70,183695,OR,2018,95.23,23.47,33.74,40.39,9.88,1.91,6.87,1.26,0.34,0.33,2.6,1.04,5.82,7.4,42.37
1,30708,7,8,151,Raven,OR,2018,94.77,23.95,32.01,38.39,9.58,2.21,6.43,1.15,0.38,0.31,2.88,1.81,5.89,6.47,43.7
1,30709,7,9,142,464773,OR,2018,94.73,22.95,34.05,40.59,11.39,1.95,6.62,1.36,0.36,0.36,2.69,1.54,5.22,6.59,46.57
1,30710,7,10,117,467905,OR,2018,94.62,24.35,30.33,36.53,10.12,2.12,6.05,1.18,0.38,0.38,2.76,2.29,6.12,6.73,46.82
1,30711,7,11,111,Agate,OR,2018,94.9,25.01,32.35,38.4,10.66,2.18,6.54,1.28,0.37,0.35,2.59,1.64,5.15,6.43,43.25
1,30712,7,12,166,Hi-Gest660,OR,2018,94.66,24.47,30.65,36.95,12.24,2.14,5.89,1.33,0.37,0.36,2.64,2.36,5.56,6.19,44.71
1,30713,7,13,186,SW5512Y,OR,2018,95.05,25.44,29.85,36.31,9.97,2.05,6,1.25,0.37,0.36,2.58,1.75,7.01,7.69,48.1
1,30714,7,14,24,502646,OR,2018,94.93,24.32,30.13,36.26,11.04,2.26,5.93,1.2,0.36,0.33,2.67,2.22,6.44,7.16,44.32
1,30715,7,15,143,467899,OR,2018,94.65,25.38,29.65,35.71,11.15,2.17,5.85,1.34,0.37,0.4,2.64,1.87,6.27,7.08,47.6
1,30716,7,16,168,AFX012,OR,2018,94.73,25.71,28.98,35.24,11.37,2.23,5.66,1.24,0.38,0.34,2.53,2.44,6.24,6.91,43.54
1,30717,7,17,132,452500,OR,2018,94.92,23.98,33.76,40.39,11.46,2.02,6.69,1.29,0.36,0.34,2.67,1.44,4.84,6.16,42.94
1,30718,7,18,174,AFX019,OR,2018,94.99,24.07,32.14,38.43,11.58,2.19,6.25,1.25,0.36,0.33,2.73,1.8,5.22,6.58,42.66
1,30719,7,19,202,Hi-Gest360,OR,2018,95.38,23.98,32.3,39.02,12.61,2,6.33,1.32,0.35,0.32,2.72,1.93,5.05,7.05,44.61
1,30720,7,20,20,502481,OR,2018,94.84,24.75,31.41,37.94,10.79,2.26,5.95,1.24,0.39,0.34,2.73,1.66,5.79,6.49,45.43
1,30801,8,1,58,277882,OR,2018,95.06,21.55,34.98,42.14,10.23,2.01,7.01,1.12,0.34,0.32,2.72,1.67,6.04,6.77,38.92
1,30802,8,2,66,206574,OR,2018,95.21,22.92,32.91,39.27,11.18,2.05,6.42,1.16,0.35,0.31,2.82,2.09,5.69,6.43,43.92
1,30803,8,3,36,468010,OR,2018,94.94,21.49,35.2,42.81,10.5,1.9,7.02,1.18,0.34,0.31,2.95,1.24,5.74,6.48,41.01
1,30804,8,4,19,502480,OR,2018,94.74,22.39,32.4,39.35,10.97,2.04,6.35,1.12,0.35,0.3,2.89,2.48,5.7,6.46,41.69
1,30805,8,5,169,AFX013,OR,2018,95.03,23.05,32.46,39.72,11.42,2.08,6.37,1.21,0.35,0.32,2.67,1.84,5.9,6.92,43.74
1,30806,8,6,118,467904,OR,2018,95.17,22.06,31.72,39.27,10.96,2.07,6.21,1.12,0.34,0.29,2.64,2.7,7.16,7.42,43.37
1,30807,8,7,201,22338_ VernalFD2,OR,2018,95.13,21.96,35.25,42.31,9.69,1.94,7.43,1.19,0.33,0.3,2.85,1.17,5.65,6.83,41.93
1,30808,8,8,91,405068_Mandan1271,OR,2018,94.67,26.13,28.52,35.28,10.4,2.29,5.69,1.21,0.38,0.34,2.73,1.96,7.06,7.46,49.3
1,30809,8,9,105,26661_WL325HQ,OR,2018,95.16,23.72,33.2,39.29,10.31,2.04,6.84,1.2,0.34,0.31,2.93,1.12,5.45,7.07,41.82
